day,G_real,removal,Eq1,Eq2,Eq3,Eq4,Eq5,Eq6,Eq7,Eq8,Eq9,Formate,Acetate,Propionate,Butyrate,H2,CO2,CH4,log_H2,log_CO2,log_CH4
3,-883.994725,96.15,-716.7471177,-723.2577062,-770.3980016,-29.71081432,-23.92356099,-5.367621559,-12.76868611,-7.977052658,-20.74573877,1.363825717,13.22477205,20.19944125,3.49657252,1.01325,34392.89809,60357.39975,0.005716612,4.536468773,4.780730522
4,-882.5170297,95.7,-716.5630925,-722.8031002,-772.9491647,-30.7484015,-24.61092261,-6.008007835,-12.46543589,-7.916810871,-20.38224676,0,11.12934445,21.70244387,3.731486062,1.01325,37247.00902,60190.43626,0.005716612,4.571091404,4.779527491
5,-881.6675167,96.24,-717.5793529,-720.3802049,-770.0200244,-29.40593292,-25.01623261,-7.415250371,-13.21128193,-7.817025518,-21.02830745,1.565259157,13.65125358,29.85459048,3.311996984,1.01325,38045.35152,59871.8065,0.005716612,4.580301601,4.777222362
6,-881.3268355,97.56,-714.967689,-720.6373071,-769.1116649,-30.21620511,-24.76608445,-5.965271731,-13.35069206,-7.816215972,-21.16690803,1.084502981,14.51793325,28.88306577,5.147501944,1.01325,38149.61793,60100.63536,0.005716612,4.581490193,4.778879063
7,-883.3382192,95.75,-717.3556868,-723.7247352,-768.7827918,-29.02217933,-23.70717428,-5.067032294,-13.32513694,-7.847984114,-21.17312105,1.80399754,14.83414999,19.75716733,3.358055448,1.01325,37956.01749,60287.14099,0.005716612,4.579280638,4.780224689
8,-882.7183274,96.15,-717.8293799,-722.3875013,-768.5944179,-28.5218314,-23.73808822,-6.054193566,-12.90015148,-8.042875982,-20.94302746,1.733077882,14.91161305,21.9159566,2.793130278,1.01325,37039.91267,60869.16658,0.005716612,4.568669954,4.784397355
9,-883.8795868,95.02,-718.6628275,-724.1249965,-769.9847492,-28.57937977,-23.3555672,-5.600753104,-12.53100154,-8.109144165,-20.6401457,1.746569641,13.52907854,17.52544651,2.351756596,1.01325,36912.34692,60743.818,0.005716612,4.567171659,4.783502086
10,-881.5578687,95.84,-717.9246628,-720.5007477,-767.3645013,-28.00039492,-24.02010096,-7.030181107,-13.0096259,-8.127018385,-21.13664429,0,16.19483075,27.12069408,2.679683976,1.01325,38259.82816,60058.65161,0.005716612,4.582743015,4.778575578
11,-880.3687193,96.06,-716.4858026,-719.8399672,-764.1238847,-27.50703467,-23.66995163,-6.243218424,-13.58965016,-8.102545425,-21.69219559,0,20.21473039,29.40571202,3.441878094,1.01325,37877.92583,60451.69474,0.005716612,4.578386189,4.781408481
12,-880.5062963,95.16,-737.9875316,-718.8522426,-764.5811512,-18.33609323,-24.07796882,-16.27254453,-13.54729987,-8.130786866,-21.67808674,1.684615606,19.60290138,33.25076715,0,1.01325,39000.79577,59367.28133,0.005716612,4.591073468,4.773547161
