day,shannon_entropy_genus,Reactor_SS
3,3.312916499,11600
4,3.044722552,6700
5,2.864560225,6498.903971
6,2.673958108,4799.597214
7,2.473797534,5099.571104
8,2.431311878,4799.184367
9,2.515996841,3601.229928
10,2.509370432,3999.663781
11,2.433929041,4001.350211
12,2.429090282,3700.311526
13,2.209002764,3500
14,2.090682658,3100.524757
15,2.240138123,2399.589006
16,2.375120278,2600
17,2.614753351,3300.828868
18,2.680056102,4399.627938
19,2.918325156,3900
20,2.963816526,4501.522714
21,3.243836777,5898.49413
22,2.518822576,3698.422309
23,2.518305541,2499.371859
24,2.332097531,1300
25,1.989885637,1100
26,2.087891878,799.8655688
27,1.775626726,1100
28,1.996074823,599.8989899
29,1.995113008,799.8628728
30,2.548573922,2700.226738
31,2.498423571,1699.711693
32,2.473837229,1800.152091
33,2.468968751,2700
34,2.231979843,1799.847302
35,2.150375789,1300
36,2.737165114,1700
37,2.652320003,1500
38,2.37879057,1100
39,2.342998157,1000
40,2.863026332,1100
41,2.636252566,1599.865907
42,2.43129047,1599.729227
43,2.667375966,2000
44,2.398147143,1399.762571
45,2.348248122,2000.506757
46,2.409851644,1900
47,2.599951724,2800
48,2.478773632,1899.680323
49,2.770995367,2300.194093
50,2.600574527,1800
51,2.837635352,3000.511814
52,2.65832459,3300
53,2.845225779,3100
54,2.812985048,3299.439681
55,2.479790762,2900.248245
56,2.717101186,3499.405772
57,2.776112551,2500
58,2.948461982,2799.057398
59,3.041552696,3699.686388
60,3.071435821,4100.344335
61,2.989269105,3899.667689
62,2.917119243,3800.643468
63,2.892914383,4298.917785
64,2.909575714,3799.360269
65,2.918767612,3900
66,3.020057042,4000.673231
67,3.052096437,3499.406377
68,3.014578951,5101.738834
69,2.976913063,4700.797624
70,3.012864865,4201.129437
71,2.979254276,3998.580428
72,3.18163872,5200
73,3.068242114,6297.749598
74,3.060637953,4798.702118
75,3.054721835,4600.780256
76,3.014154364,5200.433117
77,3.07960735,6302.253823
78,3.043790192,5200.437747
79,3.028992827,4900.831142
80,2.970199385,5300.478037
81,2.902028089,4699.156875
82,2.855839234,6000.540735
83,2.865704507,4398.878219
84,2.852502713,5100
85,2.868169779,5399.025359
86,2.927920885,5400.457511
87,2.887452966,4800
88,2.909924358,4699.599181
89,2.889664828,7398.687478
90,2.927391853,7701.292055
91,2.952637824,5599.526827
92,2.995478452,4799.152692
93,2.995827083,5399.091215
94,3.012323294,5399.025974
95,3.024326049,5400
96,3.062740549,4297.700125
97,2.951564058,4800.806045
98,2.924288071,4600.411155
99,2.929422733,5994.399661
100,2.839812795,5198.252395
101,2.834416397,8495.684549
102,2.856339328,5900
103,2.956914651,6002.03166
104,2.95278314,5799.514319
105,2.947835543,5900.77299
106,2.998353435,4598.8972
107,2.990047785,3498.751338
108,3.013061976,5699.043062
109,3.025475097,8300.745732
110,3.063843414,4898.75
