variable,H2,CO2,CH4,Formate,Acetate,Propionate,Butyrate,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111
1,0.625159328992714,0,0,0,0,-0.0199167519809571,0.0316829391988184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00705484194829537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663238775420944,0,0,0,0,0,0,0,0,-0.0130554510193049,0.0314519760786948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270991340717074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005606873250309,0,0,0,0,0.0383158898539905,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.0138679799526512,0.143598490330401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10522071318979,0,0,0,-0.417922399254391,0,0,0,0,0,0,0,0,0,0,0,-0.136288948758715,0,0,-0.282904003664478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04726830977178,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.418252492859716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209808072633587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,-0.0842340174431384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28162756919637e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.108455925370697,0,0,0,0.762066640284045,-0.215344286604319,0,0,0,0,0,0,-0.0908690208408426,0,0,0,-0.00516474367054671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0867249762495174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545690861934271,0,0,0,0,-0.0207746151735251,0,0,-0.0342811784205124,0.0835371476207869,0,0,-0.0455684472822293,0,-5.66015079379612e-5,0,0,0,0,0,0,-0.00266097953794539,0,0,-0.0573252407942244,0,0,-0.0116297602092209,0,0,0,0,0,-0.037930592732527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.0694376701601866,0,0,0,0,0.947499046618474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133967404933231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0897448942193755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.341447211511431,-0.00796061308794787,-0.00509196194104751,0,-0.0357188251550321,-0.0916062839317197,0.644897655343813,-0.00897953630341266,-0.00680282922215257,-0.00947073897549643,-0.012785246361109,0,-0.00795959259897963,0,-0.0517320196963252,-0.0034613666327971398,0,-0.00127000366327235,-0.0140453435160133,0,0,0,-0.0340674829087936,0,0,-0.00326906999406227,-0.00442849441646327,-0.0101987453763162,0,0.0250402458604014,-0.0101385538736171,-0.00291348624816601,0,-0.194929570407014,-0.00518452717469718,-0.0322293634583046,-0.00236150458465925,-0.0341211446548501,0,-0.0214256568156672,0,-0.0154722717464599,0,0,0,0.0228509828576673,-0.00193955966849774,0,0,0,-0.00676401531751836,-0.0278800669618313,0,0,0,0,0,0.130598703799813,0,0,0,-4.70665469695897e-4,-0.00737530540649604,-0.0251981169404884,0,0,-0.0693515356905194,0.100695643341563,0,0,-0.0174537066440875,0,-0.0264257545875639,-0.0035161422238823,0,0,0,0,0,0,0,0,-0.0876363734192353,0,0,0.0262036664845572,0,0,-0.0670052846304801,0,-0.00859212837823438,0,-0.0209617846206951,-0.00986071367161365,0,-0.0152391935649081,0,-0.0136647109423612,0,0.0287650777660448,-0.00457431196304814,-0.0226227820384595,0,0.0354975278888435,0.120088686742356,0,0,-0.0518153746015944,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,-0.0665489714849815,0,0,0.245694406448463,0,0,0,0,0,0,0,0.186107948030651,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198047663516604,0.0617407092766407,0,0.0653757801453021,0,0.196757803088661,0,-0.0911848957422305,0,0,0,0,0,0,0,0,-0.0643616883247087,0,0,0.0539953781325966,0,0,0,0,0,0,0,0,0.0497490631470561,0,0,0,0.0247370107773293,0.189185509479698,0,0,0,0,0,0,0,-0.0476611731937114,0,0,0,0,0,0,0,0,0,0,0,0.0103009204581137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13594420256533,0,0
9,0.0359818008011052,0.0767917251812598,-0.0465547792836606,0.0836675058659667,0,0.060280126970722,0.0201191779425924,0,0.369526019802845,0,0.0250022337510128,0,0,0,0.0193478826692132,0,0.069243827728168,0.00673802426841516,0,0,0,0,-0.0144705985106278,-0.080789038328459,0,0,0,0,0,-0.11212355819617,0,0,-0.0490858312256708,0,0.0202806406318452,0,0.023771865562587,0.0280074267496981,0,0,0,0,-0.0251435912609393,0,0,-0.0452334448378369,0,0,0,0.0229754639617042,0,0,0.00620253879202651,0.0439758531370277,0,0.0502664999402311,0,0.116711236375103,0,0,0.0296640410853711,0,0.0158531774238473,0,0,0,0.135376127166602,0,0,0,0.176445985182516,5.21325432712793e-4,0.087153334383974,0,0,0,0.0654669131971902,-0.00146534045450571,0,0.0389394722457983,0.00242281566081863,0,0.0376344657405982,0.00391968232014645,0,0.0544129867893703,0.0175574379959038,0.0885837784298624,-0.020403781106553,0,0,0.0271023813766976,0,0,0,0,0.00632774326441416,0,0,0,0,0,0.0134663861537612,0,0.0426994280256725,-0.0374553751674252,0.0661358583868737,0.00157620069796177,0,0,0,0,0,0,0,-0.0113108107834918,0,0.0406408606460102
10,0,0,0,0,0,0,0,0,0,1.00512166718244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113086405314826,0,0
