variable,H2,CO2,CH4,Formate,Acetate,Propionate,Butyrate,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111
1,1.00366533360375,0,-0.104390416888226,-0.14180701840899,0,-0.231038209590853,0,0,0,-0.158484285113575,-0.0796712497541663,0.117645840733637,0,0,0,0.101682628174178,0.0342897845821265,0,0,0,0,0,-0.0841996043572197,0,0,0.402838851369482,0,-0.190915571445982,-0.0505182432493934,0.0341908124439463,0,0,0,0.0469340467481199,-0.278964241791399,0.220564550609308,0,0,0,0,0,0,0,0,0,0.0879713738636724,0,0.0711853137694125,0,0,0,0,0.233756558942304,0.154234742008738,0,-0.338936353488574,-0.0625479092958372,0,0.148192906745117,-0.0772547171720352,0.312862963530021,0,0,-0.124773709211137,0,0,-0.0628079392654112,0.261320415097625,0,0,0,0,0,0,-0.097793046120959,0,0,0,0,0,0,0,-0.0935718540791249,-0.184480661717675,0,0.0907059719108175,0,0,0.13343238762213,0,0,-0.272140398201444,-0.132251174277536,0,0,0,0,0,0,-0.44574003770474,0,-0.0644780819648387,0,0.171620399952058,0,-0.192170278628153,0.179546854612654,-0.410834981367209,0,0,0,0,0,0,0.163971373959658,0.0129867609469806,0,0
2,0,0.119688307784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406485885649395,0,0,0,0,0,0,0,0,0,0,0,-0.12913938506642,0,0,-0.332790995168321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.409201723554352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105221197199208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,-0.0867150028353249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690027027063562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.13306664045669,0,0,0,0.850648556363594,-0.152388070646235,0,0,0,0,0,0,-7.13732138397786e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710001813381697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0536634961140013,0,0,0,0,0,0,0,0,0.0818428154169586,0,0,-0.0106575429196491,0,0,0,0,0,0,0,0,0,0,0,-0.0260097607640352,0,0,-0.0474047791452177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0.797637280402618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278790258831308,0,0,-0.11213418061413,0,0,0,0,0,0,0,0,0,0,0,0.0224331964022991,0,0,0,0,0,0,0,0,0,0,0,-0.078444729937258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00828349381326704,0,0,-0.149073589597634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00986061467918884,0,0,0,0,0,0,0,0,0,0,-0.0414659188315107,0,0
7,0,0,0,0,0,0,1.2922562818804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59965154720058e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.0161140193848609,0,0,-0.0589485115191468,0,0,0.204979445277713,0,0,0,0,0,0,0,0.167860508609951,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176755769990168,0.0544580058724996,0,0.0588003428582227,0,0.185535910495489,0,-0.100594233022684,0,0,0,0.0810607782140343,0,0,0,0,-0.0489037623903879,0,0,0.0681339575201801,0.0261621506516715,0,0,0,0,0,0,0,0.0433519579079544,0,0,0,0.0460650038783467,0.17638864490804,0,0,0,0,0,0,0,-0.0187296821288557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084234417405189,0,0,-0.129063225073924,0,0
9,0.00613195593447734,0.0128836440773159,-0.0148992281358438,0.01437275802604,0,0.021495401253124,0,0,0.960472317254708,0,0,0,0.00580068288450818,0,0,0,0.0419804972865666,0,0,0,0,0,0,0,0,0,0,0,0,-0.012681620858415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208493189881209,0,0,0,0,0,0,0,0,0.00784685400885442,0,0,0,0,0,-0.0107416190944653,0,0,0,-6.99230875166143e-4,0,0,0,0,0,0,0,0.0168019887148945,0,0,0,0,0,0,0.0249799029626183,0,0,0.0140265549719273,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390885404612657,0,0,0,0,0.0178289597838573,0,0,0,0,0,0,0,0,0,0,6.16136361961872e-4,0,0
10,0,0,0,0,0,0,0,0,0,1.00568572825234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109380300988376,0,0
11,0,0,0,0,0,0,0,0,0,0,0.949839579329567,0,0,0,0,0,2.19935931608129e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
