"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,4,0,0.00439397056076079,1.35816421819794,9.94486689494012,112.728971962617,0.408689465016597
2,1.5,0.9,0.0517947467923121,0.518271600485804,1.52667646437457,7.35514018691589,0.629231851892579
3,4,0.95,0.0848342898244071,0.564346778961619,1.50552477028421,1.26168224299065,0.645464243852326
4,0,0.25,1,1.03250786814774,6.6675302386181,1,-0.0130422646178049
5,0.25,0.125,0.227584592607479,0.344332205794798,0.787152615376893,22.2990654205607,0.807199912158118
6,6,0,1,0.274384251116628,0.544067195357137,112.728971962617,0.850517083719803
7,6,0.125,1,0.551740732685013,1.77241912288367,1,0.762812771459481
8,0.05,0.325,0.0517947467923121,0.130654663405648,0.34037708861493,21.1121495327103,0.932342166346596
9,6,0.05,1,0.145262033186932,0.503147938971386,1,0.888941967015556
10,0.75,0.075,1,0.0603155651508799,0.124274856808067,1,0.969267646954402
11,2,0.075,1,0.258995759919322,1.30239210309732,1,0.793590809107133
12,8,0.05,1,0.077715732325265,0.219602804238698,1,0.961658990658588
13,8,0,0.610540229658533,0.266525721727449,0.81137920776054,112.728971962617,0.780621743859546
14,6,0.05,1,0.183613896856494,0.46508592626666,1,0.882389528492878
15,4,0.825,0.00268269579527972,0.0971876227875222,0.242799290314651,18.3069306930693,0.952614801261405
16,0,0.75,0.0117876863479359,0.0426032325399765,0.0926517489443993,21.607476635514,0.978509738506431
17,4,0.85,0.0517947467923121,0.696980062285281,0.958201647908198,4.08695652173913,0.484901755810499
18,8,0.975,0.0316227766016838,0.209521513008497,0.52597316106093,1.16822429906542,0.885855929028536
19,0.5,0.025,1,0.349424162640696,0.740437370820962,51.4952380952381,0.790560144262309
20,8,0.075,0.138949549437314,0.121559163162958,0.225926989017506,3.20560747663551,0.938275560744728
21,8,0.075,0.372759372031494,0.128197011496632,0.419974557589899,1.16483516483516,0.936847148960735
22,8,0.625,0.0316227766016838,0.275722423072986,1.10352959124825,1.39252336448598,0.809317616224602
23,8,0,0.227584592607479,0.409570686745703,0.752621100339238,112.792452830189,0.763446638150433
24,8,0,0.372759372031494,0.301108804297216,0.513212700322998,112.728971962617,0.836963661813185
25,8,0,1,0.192488191545125,0.42693055072925,112.728971962617,0.893152999579246
26,4,0.05,1,0.241568301583187,0.641153476938535,1,0.826567157052847
27,8,0.025,0.00268269579527972,0.0453315682337075,0.104721765411811,57.196261682243,0.977524774337784
28,8,0.05,0.0848342898244071,0.0807126183951234,0.160404738205997,8.37383177570093,0.958467140984258
29,6,0.075,1,0.228768621141217,0.593375208854351,1,0.843704691857692
30,8,0.025,0.0193069772888325,0.10854548236031,0.272438994521395,48.2710280373832,0.943158552039002
31,6,0,1,0.410835611193226,0.714717627416429,112.72641509434,0.740070492409231
32,6,0.15,0.000999999999999999,0.108018755149774,0.176730421398921,56.1078431372549,0.944308306274921
33,0.05,0.15,0.372759372031494,0.541010955253591,0.892579834633361,16.5769230769231,0.650448701353985
34,0.25,0.65,0.0517947467923121,0.30926461098503,0.727231619409482,12.3522727272727,0.730321398398326
35,6,0,0.0848342898244071,0.16801865355929,0.324327552185368,112.839622641509,0.912022065064958
36,8,0,1,0.379418060332705,0.939548181379793,112.728971962617,0.63639587684199
37,6,0,0.610540229658533,0.494257925962295,1.0082223383494,112.820754716981,0.665439885881803
38,2,0.175,0.0117876863479359,0.355684355018014,1.11896660837797,45.2051282051282,0.844758955395637
39,8,0.075,0.0517947467923121,0.111233879702129,0.171759112775473,13.9545454545455,0.93669775212488
40,8,0.4,0.0848342898244071,0.138079340224492,0.241823882853667,1.01282051282051,0.925950612985235
41,3,0,0.138949549437314,0.166210919650172,0.275329369619953,113.512820512821,0.920122298896802
42,8,0.025,0.000999999999999999,0.0430331959805323,0.0948651266813983,69.1470588235294,0.97866430237523
43,8,0,1,0.54899746540512,0.804044597084549,113.058823529412,0.605916066274493
44,6,0,1,0.217750876945277,0.508203811940852,112.728971962617,0.861056039101589
45,8,0.525,0.000999999999999999,0.068498012139887,0.141585166499529,20.588785046729,0.966488009174563
46,2,0,0.610540229658533,0.14472960123699,0.195362175935938,113.177083333333,0.917709053787523
47,1.5,0,0.372759372031494,0.0651494933363259,0.181091561016764,113.975,0.971898342150079
48,4,0,1,0.3232372473375,0.691916609783071,112.728971962617,0.812292897597958
49,8,0.025,0.227584592607479,0.467720264971181,0.709960409455363,42.42,0.48977116742699
50,8,0,0.227584592607479,0.185686730237624,0.333631273713512,112.728971962617,0.896078949072616
51,0.1,0.9,0.0316227766016838,0.249036209093221,0.573948682468164,16.7303370786517,0.850548007906858
52,8,0.675,0.0316227766016838,0.057186304046558,0.231619049494032,1.17525773195876,0.972550126711549
53,8,0,0.0193069772888325,0.0677754918980512,0.142973845152564,112.923076923077,0.965840043616317
54,1.5,1,0.0316227766016838,0.475020734268823,1.16936179240601,9.35051546391753,0.720127113471078
55,1,0.25,1,0.0525087652931664,0.0887639591003864,1,0.974145946297535
