Date,SampleID,Day,Glucose(µM),Formate(µM),Acetate(µM),Propionate(µM),Butyrate(µM),H2_atm,CO2_atm,CH4_atm,DNA conc (ng/uL)
2021/10/14,UASB_004,3,0,29.65,220.41,272.97,39.73,0.00001,0.339431513,0.595681221,430.61
2021/10/15,UASB_005,4,0,0,185.49,293.28,42.4,0.00001,0.367599398,0.59403342,337.45
2021/10/16,UASB_006,5,0,34.03,227.52,403.44,37.64,0.00001,0.375478426,0.590888789,318.31
2021/10/17,UASB_007,6,0,23.58,241.97,390.31,58.49,0.00001,0.376507455,0.593147154,311.13
2021/10/18,UASB_008,7,0,39.22,247.24,266.99,38.16,0.00001,0.374596768,0.594987821,326.43
2021/10/19,UASB_009,8,0,37.68,248.53,296.16,31.74,0.00001,0.365555516,0.600731967,293.96
2021/10/20,UASB_010,9,0,37.97,225.48,236.83,26.72,0.00001,0.36429654,0.599494873,263.64
2021/10/21,UASB_011,10,0,0,269.91,366.5,30.45,0.00001,0.377595146,0.592732806,275.45
2021/10/22,UASB_012,11,0,0,336.91,397.37,39.11,0.00001,0.373826063,0.596611841,256.17
2021/10/23,UASB_013,12,0,36.62,326.72,449.33,0,0.00001,0.384907928,0.585909512,273
2021/10/24,UASB_014,13,0,23.6,260,284.18,30.94,0.00001,0.385383908,0.584944912,256.1
2021/10/25,UASB_015,14,0,22.6,827.39,657.66,135.5,0.00001,0.383846677,0.585372177,195.09
2021/10/26,UASB_016,15,0,33.6,1080,712.95,221.86,0.00001,0.396552346,0.564747209,161.42
2021/10/27,UASB_017,16,0,36.91,532.44,362.62,203.05,0.002132354,0.394848569,0.567858798,156.88
2021/10/28,UASB_018,17,0,40.65,1977.2,1017.16,903.79,0.004711311,0.392914878,0.565108332,212.31
2021/10/29,UASB_019,18,0,36.53,1555.56,750.98,730.83,0.008457149,0.391243127,0.561624,243.14
2021/10/30,UASB_020,19,0,49.06,1919.35,819.06,976.21,0.01345538,0.398741499,0.545389956,182.94
2021/10/31,UASB_021,20,0,36.91,532.44,362.62,203.05,0.00001,0.371104893,0.599531565,227.02
2021/11/1,UASB_022,21,0,0,384.19,412.01,49.86,0.00001,0.377985714,0.589752308,358.69
2021/11/2,UASB_023,22,0,40.21,526.66,520.22,53.26,0.00001,0.379111241,0.582594289,209.26
2021/11/3,UASB_024,23,0,37.54,1276.16,699.45,146.35,0.00001,0.395229957,0.568303975,153.34
2021/11/4,UASB_025,24,0,0,2131.13,858.6,526.4,0.00243573,0.402840593,0.5514221,117.06
2021/11/5,UASB_026,25,0,41.45,2286.88,965.11,803.02,0.003569504,0.400962467,0.556250678,85.77
2021/11/6,UASB_027,26,0,0,2300.58,958.64,737.74,0.003441376,0.40916019,0.548218738,86.87
2021/11/7,UASB_028,27,0,21.73,2424.89,1062.23,741.87,0.003240571,0.410024307,0.548645383,81.02
2021/11/8,UASB_029,28,0,40.95,2448.71,1150.18,694.51,0.00404548,0.408943501,0.546793876,73.1
2021/11/9,UASB_030,29,0,50.25,2548.82,1508.91,714.03,0.003289094,0.415597772,0.543599133,75.98
2021/11/10,UASB_031,30,0,28.96,1080.4,836.6,178.74,0.00001,0.385551809,0.583496601,172.84
2021/11/11,UASB_032,31,0,0,1326.19,851.95,183.71,0.00001,0.39322711,0.571427031,134.49
2021/11/12,UASB_033,32,0,26.47,2042.27,1088.22,397.43,0.002505169,0.40090241,0.55935746,115.47
2021/11/13,UASB_034,33,0,0,1184.11,677.05,209.19,0.00001,0.381962953,0.590501558,147.2
2021/11/14,UASB_035,34,0,28.47,1023.23,576.67,120.87,4.1325E-05,0.388211366,0.578121628,117.68
2021/11/15,UASB_036,35,0,26.4,1180.12,580.31,138.98,0.000202261,0.398083811,0.565498292,116.61
2021/11/16,UASB_037,36,0,34.5,1618.89,886.44,199.98,1.03198E-05,0.392988751,0.56371484,57.62
2021/11/17,UASB_038,37,0,34.45,1815.74,977.84,252.86,0.000710744,0.402172604,0.558423868,60.51
2021/11/18,UASB_039,38,0,0,2411.76,1417.64,409.43,0.000894588,0.40912203,0.552998829,59
2021/11/19,UASB_040,39,0,0,2212.49,1526.37,276.74,0.000742453,0.406978611,0.55681167,61.53
2021/11/20,UASB_041,40,0,30.6,1984.63,1509.64,233.93,0.00001,0.404828564,0.559557744,65.23
2021/11/21,UASB_042,41,0,29.38,2008.77,1859.32,183.86,0.00001,0.408704731,0.554179975,90.72
2021/11/22,UASB_043,42,0,38.3,1875.04,1788.73,137.91,0.00001,0.405297172,0.557788082,97
2021/11/23,UASB_044,43,0,28.08,1545.52,1844.38,89.93,0.00001,0.399669043,0.56132096,118.65
2021/11/24,UASB_045,44,0,50.39,1668.75,2007.85,78.3,0.00001,0.408412951,0.555791637,111.14
2021/11/25,UASB_046,45,0,0,1378.71,1937.21,54.08,0.00001,0.403834346,0.559225107,113.24
2021/11/26,UASB_047,46,0,0,1209.77,2107.99,46.49,0.00001,0.404484167,0.558249431,120.76
2021/11/27,UASB_048,47,0,0,995.11,1882.13,35.91,0.00001,0.407489289,0.556492277,107.39
2021/11/28,UASB_049,48,0,0,881.39,1844.11,33.38,0.00001,0.408387122,0.554811411,158.19
2021/11/29,UASB_050,49,0,30.75,659,1753.47,0,0.00001,0.403280542,0.55917985,153.9
2021/11/30,UASB_051,50,0,0,623,1862.24,0,0.00001,0.402652742,0.561682727,183.41
2021/12/1,UASB_052,51,0,24.74,254.9,966.43,0,0.00001,0.350164772,0.600031958,178.96
2021/12/2,UASB_053,52,0,29.46,305.56,885.38,0,0.00001,0.394396981,0.566409683,180.76
2021/12/3,UASB_054,53,0,0,384.31,1170.23,0,0.00001,0.398624795,0.567610517,173.05
2021/12/4,UASB_055,54,0,0,447.97,1290.83,0,0.00001,0.397702815,0.562104968,211.29
2021/12/5,UASB_056,55,0,0,527.02,1487.42,0,0.00001,0.393780154,0.56499646,225.45
2021/12/6,UASB_057,56,0,42.95,572.03,1537.45,0,0.00001,0.373341446,0.59057883,237.68
2021/12/7,UASB_058,57,0,73.5,826.91,1516.08,35.81,0.00001,0.378997266,0.585829029,215.65
2021/12/8,UASB_059,58,0,0,496.29,1457.91,0,0.00001,0.436574449,0.530205966,217.5
2021/12/9,UASB_060,59,0,25.49,638.77,1778.03,0,0.00001,0.413763558,0.552708721,249.49
2021/12/10,UASB_061,60,0,44.77,641.3,1617.55,0,0.00001,0.405615417,0.55887962,313.32
2021/12/11,UASB_062,61,0,42.69,557.76,1366.42,0,0.00001,0.402559069,0.562916942,371.15
2021/12/12,UASB_063,62,0,0,594.96,1368.41,0,0.00001,0.403970385,0.560564888,345.74
2021/12/13,UASB_064,63,0,42.02,591.54,1393.66,0,0.00001,0.401200556,0.564672725,380.56
2021/12/14,UASB_065,64,0,42.55,709.59,1580.81,0,0.00001,0.407455326,0.557031027,334.4
2021/12/15,UASB_066,65,0,42.11,699.8,1438.95,0,0.00001,0.416053942,0.550169315,352.46
2021/12/16,UASB_067,66,0,46.25,907.86,1715.05,0,0.00001,0.419808775,0.548312767,358.01
2021/12/17,UASB_068,67,0,25.64,861.78,1533.84,30.62,0.00001,0.416305112,0.552826562,262.61
2021/12/18,UASB_069,68,0,27.15,800.79,1364.5,0,0.00001,0.408122797,0.559412922,331.07
2021/12/19,UASB_070,69,0,45.03,812.78,1310.1,0,0.00001,0.396497125,0.565107861,315.2
2021/12/20,UASB_071,70,0,0,832.71,1354.97,0,0.00001,0.404405499,0.561288939,306.01
2021/12/21,UASB_072,71,0,0,874.63,1378.47,0,0.00001,0.407760268,0.558709857,292.61
2021/12/22,UASB_073,72,0,29.47,460.27,1038.51,0,0.00001,0.396208372,0.574162011,296.79
2021/12/23,UASB_074,73,0,38.1,357.15,670.88,0,0.00001,0.395796377,0.573130411,454.83
2021/12/24,UASB_075,74,0,49.67,479.83,654.55,0,0.00001,0.403139619,0.563704298,302.37
2021/12/25,UASB_076,75,0,32.59,434.87,813.66,0,0.00001,0.398313883,0.567364812,394.88
2021/12/26,UASB_077,76,0,45.11,495.73,761.43,0,0.00001,0.403673428,0.564676111,354.57
2021/12/27,UASB_078,77,0,0,576.49,894.45,0,0.00001,0.40927427,0.559640548,365.9
2021/12/28,UASB_079,78,0,21.69,575.06,826.63,0,0.00001,0.400504375,0.567500537,340.8
2021/12/29,UASB_080,79,0,0,554.87,758.43,0,0.00001,0.401506763,0.566573687,358.04
2021/12/30,UASB_081,80,0,0,537.58,673.43,0,0.00001,0.40227242,0.566268183,487.58
2021/12/31,UASB_082,81,0,0,481.16,670.33,0,0.00001,0.400737065,0.565408071,459.11
2022/1/1,UASB_083,82,0,35.93,620.09,840.93,0,0.00001,0.406615907,0.56134789,457.54
2022/1/2,UASB_084,83,0,0,703.49,863.99,0,0.00001,0.404967322,0.558046047,438.64
2022/1/3,UASB_085,84,0,0,880.71,1087.26,0,0.00001,0.405026465,0.562307084,463.67
2022/1/4,UASB_086,85,0,21.43,541.09,620.24,0,0.00001,0.407793422,0.561525987,524.45
2022/1/5,UASB_087,86,0,0,795.5,865.62,0,0.00001,0.408411746,0.553425356,404.1
2022/1/6,UASB_088,87,0,37.79,1027.85,1123.43,0,0.00001,0.414355305,0.554638351,457.49
2022/1/7,UASB_089,88,0,0,993.43,1032.44,0,0.00001,0.408838425,0.560260421,366.07
2022/1/8,UASB_090,89,0,36.58,1183.75,1162.53,32.71,0.00001,0.409866484,0.557721362,335.98
2022/1/9,UASB_091,90,0,42.26,642.64,633.07,0,0.00001,0.409057442,0.559031257,436.28
2022/1/10,UASB_092,91,0,35.03,1225.59,1201.08,34.81,0.00001,0.410367096,0.55840264,432.81
2022/1/11,UASB_093,92,0,25.72,969.76,857,33.18,0.00001,0.407542733,0.560403281,369.74
2022/1/12,UASB_094,93,0,26.7,1215.85,1308.09,30.62,0.00001,0.409913744,0.552405405,398.23
2022/1/13,UASB_095,94,0,39.36,1337.37,1163.92,41.58,0.00001,0.404382943,0.557026434,428.17
2022/1/14,UASB_096,95,0,27.38,923.8,736.68,29.22,0.00001,0.398084941,0.566264155,416.67
2022/1/15,UASB_097,96,0,39.92,1045.85,903.01,31.01,0.00001,0.402695308,0.557246106,353.09
2022/1/16,UASB_098,97,0,27.06,937.04,931.58,32.97,0.00001,0.394607642,0.568216574,361.59
2022/1/17,UASB_099,98,0,32.82,709.44,579.45,0,0.00001,0.406370959,0.551157413,369.74
2022/1/18,UASB_100,99,0,34.86,1088.96,906.02,32.99,0.00001,0.404626951,0.54422096,398.23
2022/1/19,UASB_101,100,0,39.5,1437.77,989.2,36.76,0.00001,0.410442606,0.553040481,428.17
2022/1/20,UASB_102,101,0,33.38,1128.73,858.44,30.06,0.00001,0.384234886,0.568246773,416.67
2022/1/21,UASB_103,102,0,31.9,1350.88,1010.1,40.15,0.00001,0.411798502,0.5524167,353.09
2022/1/22,UASB_104,103,0,0,1278.44,860.13,36.41,0.00001,0.409143421,0.556026096,361.59
2022/1/23,UASB_105,104,0,0,1410,989.34,39.2,0.00001,0.408155962,0.559805823,385.95
2022/1/24,UASB_106,105,0,258.08,1475.16,879.73,45.73,0.00001,0.40988676,0.557744151,387.17
