,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta,0.338429848,0.32527069,0.214765126,0.194298299,0.114010609,0.152504102,0.153159785,0.078263181,0.138200422,0.132765168,0.120869119,0.081000501,0.091251608,0.108162903,0.17760941,0.191233174,0.308210304,0.287690235,0.310729875,0.192106616,0.223020322,0.130844889,0.072518528,0.084972885,0,0.034693709,0.034642297,0.246061343,0.17674551,0.046503888,0.170566242,0.176824221,0.103058432,0.246094209,0.229614451,0.108128439,0.168421059,0.231948684,0.189441099,0.131125125,0.177037426,0.100333389,0.089863411,0.09939158,0.193644261,0.15884271,0.200775433,0.145641564,0.219619312,0.20298679,0.301520346,0.2368106,0.231151616,0.222334492,0.245599712,0.281165253,0.30187236,0.272303747,0.276541321,0.264196571,0.249673407,0.280417147,0.283852026,0.349806005,0.35933527,0.341989006,0.275525699,0.359334797,0.377993921,0.439503838,0.52920963,0.466266018,0.493605001,0.495993823,0.488384678,0.576377906,0.582357696,0.467588394,0.439648493,0.455140008,0.439354328,0.437014576,0.578311726,0.456480337,0.488625084,0.473283893,0.47917786,0.466843209,0.517436691,0.459975952,0.488831097,0.455189986,0.511068585,0.469977032,0.505737459,0.45980897,0.51793523,0.509359178,0.466505606,0.49643167,0.531849563,0.746593853,0.795134418,0.818750314,0.746483072,0.679622307,0.909657604,0.685722164
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured;g__uncultured,3.571643846,3.019103133,2.4832218,2.505778687,2.223207685,2.00390412,1.921155817,2.113106878,1.751539978,1.719772387,1.370832421,1.091887008,1.351112824,1.443299036,1.888579804,1.834642849,2.113442125,2.092292929,2.404919708,1.486000954,1.523489651,1.377505482,0.833963121,0.81051036,0.662894034,0.64025756,0.491105051,1.297414498,0.861002938,0.737418806,1.33242315,1.052104323,0.630475194,1.19175956,1.024433525,0.726341264,0.709311526,1.045275129,0.867440997,0.632821319,0.928720838,0.676441028,0.654205682,0.719836057,0.778035043,0.717628744,1.048878573,0.802578003,1.007808754,0.83804546,0.980734549,0.9202638,0.683955547,0.912918965,0.791376739,0.77913267,0.963422292,0.87782143,0.792526948,0.792589714,0.715860406,0.805858934,0.802495172,0.74095271,0.718670639,0.708189612,0.630225498,0.798168294,0.73536994,0.956567218,1.082474262,1.176617594,0.971687799,0.953834251,1.1984703,1.029921132,1.110250273,1.016496504,0.894669293,0.956611607,0.978295739,0.90298795,0.96499351,0.924162775,0.942348377,0.953095887,1.04347293,0.843593917,0.949144183,0.8829069,0.931254294,0.907892571,0.910084673,0.857016923,0.868473329,0.799504622,0.746598076,0.78747552,0.77191571,0.871340996,0.873094003,0.824363969,1.011719451,0.934067288,0.801033784,0.788468056,0.729926843,0.839659734
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema,0.027195296,0.050269114,0.029530204,0.0234498,0,0,0.053272995,0.027221993,0.072104611,0.074101482,0.038324306,0.0486003,0.052984805,0.043941201,0.065123404,0.029880196,0.03626,0.04358939,0.067972195,0.059327074,0.043445504,0.038163097,0.039280915,0.065363689,0.022635398,0.056771614,0.075397892,0.079890081,0.088372755,0.083042678,0.062206479,0.055994307,0.057591518,0.094013465,0.105975923,0.105777839,0.084210479,0.123505092,0.129617599,0.119722923,0.107383316,0.080913991,0.043134405,0.075296685,0.076074585,0.093603706,0.072694512,0.077468881,0.131771607,0.081194696,0.13330372,0.1528777,0.123492008,0.154960394,0.20807751,0.379403737,0.395003179,0.386958025,0.485633513,0.487012947,0.495445612,0.470991878,0.627277856,0.616930608,0.769202149,0.802009614,0.737902198,0.747289095,0.72162474,0.824069747,0.69759454,0.607084594,0.667453237,0.785323577,0.649037538,0.762204576,0.800218169,0.816101464,0.823956562,0.858497627,0.84941846,0.884559651,0.978681413,0.963369678,0.964558571,0.910663587,0.96150822,1.053809821,0.964452983,0.997129113,0.943629694,1.077034302,0.962011471,0.945483166,1.053329014,0.932755443,1.005565642,1.099965768,1.191435115,1.116971282,1.106738931,1.359422879,1.177866976,1.3203791,1.335056307,1.396411331,1.404834098,1.507889001
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;__,2.369009133,2.055119167,1.559731689,1.406987993,1.184443998,1.02177761,0.898981115,0.908533876,0.805167628,0.700876732,0.707526414,0.557283604,0.86836228,0.865303422,1.101178161,1.284847624,1.605801619,1.566313748,2.294869516,1.223266968,1.135376312,0.923183121,0.59827793,0.500032613,0.540016147,0.384785296,0.517596148,1.019397062,0.742330964,0.674306423,1.019384055,0.789814992,0.660786503,0.575141488,0.420959793,0.41135835,0.4080971,0.433774071,0.473602898,0.450386285,0.53981898,0.420752755,0.492451562,0.530088395,0.632801872,0.666572141,0.626557803,0.505097376,0.771107942,0.681455667,0.774431218,0.9172662,0.661790345,0.501936981,0.982398748,0.745257376,0.892771278,0.643138575,0.526103031,0.595238036,0.542259432,0.694236615,0.546677949,0.74731291,0.602635217,0.671872211,0.668228998,0.594651296,0.501701028,0.908092492,0.780068744,0.91688554,0.859928176,0.890245361,0.812903397,0.740157379,0.821166276,0.685409038,0.59337176,0.591409481,0.489147819,0.610767366,0.619375235,0.602106049,0.545737071,0.564676692,0.598972375,0.529635011,0.584795289,0.44145345,0.451704697,0.517374397,0.475539786,0.478270736,0.380175069,0.375354257,0.388451448,0.274991442,0.318834704,0.297341862,0.418101349,0.34218887,0.293725044,0.296941133,0.267011261,0.24423921,0.256758145,0.335863933
d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Pla4_lineage;f__Pla4_lineage;g__Pla4_lineage,0.093672585,0.053226115,0.021476503,0,0.015834801,0,0,0.010208197,0.021030503,0.006179999,0.017688203,0.0388802,0.041210404,0.064221702,0.062163303,0.095616587,0.095830101,0.101708677,0.093866292,0.090403061,0.066616507,0.018172898,0.039280915,0.032681894,0.016168098,0,0.018339998,0.025564794,0.015149609,0,0.034113288,0.055994307,0.018186806,0.005529998,0,0.004700002,0,0,0,0.005700001,0.011609002,0.016182798,0,0.009039998,0,0.00567,0.013846602,0.027888793,0.014641301,0.020298699,0.022217303,0.0269784,0.066495705,0.043793198,0.167144208,0.135501377,0.179838836,0.589394386,0.586807258,0.814871312,0.971385515,0.789523931,1.009251591,1.742670023,1.952014179,1.852188131,1.482138296,1.974751186,1.859042702,1.551190041,1.092783562,1.020152521,1.157953837,1.033320439,1.2016833,1.051968329,1.196137602,0.909038283,0.827031063,0.798539039,0.852347459,0.737133059,0.848646785,1.218214499,0.910619484,0.985736186,0.728224291,0.832673617,0.841982785,0.913777803,0.733246696,0.703927732,0.593058182,0.749198669,0.784765036,0.835163328,0.738333171,0.806224923,0.711504909,0.752404251,0.59640927,0.718596547,0.901943434,0.801452818,0.930232814,0.913242413,0.773942534,0.80817254
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilaceae,0.483471225,0.32527069,0.335570541,0.221098099,0.212186518,0.167754502,0.199773581,0.183748455,0.168244027,0.154378163,0.091388815,0.116640701,0.167785215,0.169004604,0.239772713,0.182269075,0.331520304,0.351621421,0.404596168,0.189281518,0.185367518,0.132662089,0.099712938,0.140532076,0.10347619,0.07884942,0.065208993,0.159780063,0.17674551,0.156120159,0.232772721,0.176824221,0.121245237,0.149315545,0.176626439,0.115180342,0.116599171,0.135554391,0.159529399,0.136826226,0.156721623,0.152118284,0.172537722,0.108427179,0.152149069,0.150333309,0.173082229,0.176629157,0.261103014,0.153689993,0.187260028,0.2218225,0.132991409,0.25265289,0.133033207,0.17953927,0.112399222,0.132568974,0.131525758,0.098675789,0.115083849,0.114344819,0.119147711,0.098581701,0.112292322,0.118031602,0.1013428,0.124018199,0.079035104,0.164813989,0.192439911,0.200275365,0.173848336,0.181228472,0.257044536,0.144881876,0.17805896,0.209107842,0.129127557,0.14989637,0.137664377,0.147426592,0.174520138,0.156827613,0.104705375,0.143617198,0.148166819,0.122853502,0.137778998,0.138918916,0.114473099,0.141780527,0.136649396,0.138228568,0.104635291,0.123866919,0.101934065,0.115621418,0.077191601,0.121522344,0.101451112,0.077770216,0.071206111,0.08937068,0.097617022,0.06636933,0.077027483,0.080467384
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031,2.97032644,2.365604753,2.131543858,1.735285291,1.744996345,1.686695517,1.598188548,1.847692444,1.811627188,2.006915618,1.356092318,1.150207408,1.256917616,1.375697134,1.610325089,1.655361773,2.061642125,1.86562788,2.207476723,1.358871609,1.427909541,1.097642906,0.731228582,0.705928378,0.261923974,0.485712621,0.454424955,1.108873942,1.022598839,0.860321974,1.159850308,1.02558072,0.724440222,1.493155849,1.304092087,1.024869873,0.900404679,1.400728905,1.196470395,0.758245343,1.239261885,0.880344306,0.851905206,0.903559821,1.020090394,0.80555955,1.467737742,1.100058629,1.420205077,1.238219441,1.532992933,1.4538369,0.943605364,1.462017844,1.272342762,1.385501169,1.624972223,1.623073885,1.396196513,1.340081355,1.402462199,1.320410819,1.324642719,1.319722717,1.216499736,1.364929523,1.174942996,1.37691989,1.298924471,1.748320448,1.481099784,1.7148576,1.570843522,1.532493761,1.574398006,1.552755647,1.453799388,1.524744706,1.524934569,1.370870723,1.508450051,1.529551016,1.361941197,1.529069224,1.243772905,1.331723081,1.267299458,1.307707026,1.301246077,1.173093133,1.039539594,1.303385545,0.98387537,1.080947133,1.109134609,1.161721578,1.236983589,1.034342858,1.114243514,1.116971282,0.974545115,0.930131491,0.878208131,0.890823498,1.04220524,0.966337937,0.825294223,1.158030771
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolineaceae_UCG-001,0.057412191,0.056183116,0.029530204,0.0368497,0,0.0244007,0,0,0,0.018525396,0,0,0.032379603,0,0.020721101,0.032868195,0.02849,0.014529797,0.029130898,0.025425889,0.017378202,0,0.021151208,0,0,0,0.018339998,0.047933989,0.030299219,0.029895392,0.03009989,0.029470703,0.045466914,0.082953069,0.100088322,0.096375335,0.116599171,0.14760369,0.176977899,0.142527327,0.220571233,0.18772048,0.168943221,0.216854357,0.280092643,0.428308027,0.550401691,0.501998577,0.580771131,0.61765987,0.701431507,0.7284173,0.604794041,0.400875885,0.61399923,0.813007964,0.741835148,0.523109899,0.448536597,0.251464173,0.165798771,0.133402322,0.147182513,0.066781101,0.082347716,0.084740601,0.0475044,0.104938499,0.020617801,0.048474726,0.051546403,0.05945679,0.068297514,0.034973895,0.019278295,0.044094493,0.025137708,0,0.04611702,0.024528495,0.023432196,0,0,0.0028,0.022210195,0.045696399,0,0.00273,0.0214323,0.015435402,0.0278448,0.029848506,0.027329899,0.027645714,0,0.00188,0.016529811,0.00312,0.0167808,0,0.027668503,0,0.029669204,0.037477991,0.034453108,0.034512116,0,0.038484392
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41;g__WCHB1-41,0.102737684,0.065054118,0.120805415,0.100499099,0.098175808,0.149454001,0.083238992,0.183748455,0.216313734,0.169815959,0.147401324,0.123120801,0.156010814,0.162244404,0.139127308,0.227089369,0.176120202,0.206323354,0.197442984,0.118654048,0.153507515,0.11085469,0.042302516,0.071900088,0.084074392,0.141929035,0.120228988,0.17256256,0.131296682,0.142833362,0.212706128,0.103147512,0.09699623,0.124429654,0.076538117,0.065817324,0.110121473,0.117480492,0.1246323,0.102619719,0.092872114,0.087387091,0.104241613,0.144569571,0.165980766,0.209899313,0.152312425,0.195221652,0.156173708,0.139190993,0.095216914,0.0719424,0.028498102,0.087586297,0.078455504,0.165989172,0.144513329,0.249014652,0.239444305,0.27692897,0.265278013,0.30219715,0.297869427,0.559689607,0.512801399,0.56897281,0.497213099,0.610551096,0.54293673,0.568769708,0.422680424,0.453748821,0.322861066,0.314765351,0.353436312,0.289763753,0.242998182,0.267193354,0.224435899,0.19622806,0.213819165,0.17901799,0.112924825,0.24924392,0.196719153,0.270914296,0.277418735,0.264817505,0.269434495,0.404408446,0.457892497,0.606920014,0.491937685,0.599911796,0.599909251,0.660623601,0.644664011,0.712477809,0.77191571,0.853241904,0.879242604,0.895912584,0.990951048,1.063798859,1.154177665,1.319422896,1.272787026,1.151033572
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__A4b,0.042303693,0.017742005,0.026845603,0.0435496,0.022168702,0.0274507,0.016647798,0,0.027039204,0.037050791,0,0,0.017661602,0.0169005,0.050322703,0.032868195,0.044030001,0.061025186,0.045314796,0.016950593,0.028963703,0.029076597,0,0.009799998,0,0,0,0,0.020199513,0.023251994,0.006019998,0.014735402,0.012124504,0.019355693,0.023550205,0.011753104,0,0.021086199,0.0199412,0,0,0,0,0,0.020747596,0,0,0,0,0.028998099,0.025391204,0.029976,0.050663403,0.016843499,0.030700002,0.033875294,0,0.041203892,0.016862307,0.019098498,0.009750004,0,0.021026102,0.0254404,0.018715404,0,0.0316696,0,0.020617801,0,0,0.025034396,0.021731004,0.022256097,0.035343591,0.012598398,0,0.026138505,0.021521209,0.029979294,0.020503197,0.026326199,0.030797707,0.025204402,0.022210195,0,0.022067403,0.038221101,0.0214323,0.024696703,0.0154693,0.037310607,0.0109319,0,0.020927098,0.011260602,0.027549718,0,0,0,0,0.018664804,0,0.011531697,0.011484403,0.02123821,0,0.017492897
