"","Day003","Day004","Day005","Day006","Day007","Day008","Day009","Day010","Day011","Day012","Day013","Day014","Day015","Day016","Day017","Day018","Day019","Day020","Day021","Day022","Day023","Day024","Day025","Day026","Day027","Day028","Day029","Day030","Day031","Day032","Day033","Day034","Day035","Day036","Day037","Day038","Day039","Day040","Day041","Day042","Day043","Day044","Day045","Day046","Day047","Day048","Day049","Day050","Day051","Day052","Day053","Day054","Day055","Day056","Day057","Day058","Day059","Day060","Day061","Day062","Day063","Day064","Day065","Day066","Day067","Day068","Day069","Day070","Day071","Day072","Day073","Day074","Day075","Day076","Day077","Day078","Day079","Day080","Day081","Day082","Day083","Day084","Day085","Day086","Day087","Day088","Day089","Day090","Day091","Day092","Day093","Day094","Day095","Day096","Day097","Day098","Day099","Day100","Day101","Day102","Day103","Day104","Day105","Day106","Day107","Day108","Day109","Day110"
"Day003",0,0.132387568581548,0.223429533055054,0.283761959879257,0.325736641977835,0.35854356563944,0.357273466905368,0.360771365366077,0.387061828655483,0.384717079711548,0.434862567994568,0.466310332231321,0.414361749357071,0.386934668592261,0.329420427299765,0.316375785898983,0.252812292566377,0.272890241072747,0.22279366013057,0.377483253745762,0.372328597605107,0.431588472130317,0.520041938869203,0.512172111055608,0.555799961153359,0.529966850699495,0.546442941349179,0.401013433328985,0.441587336895327,0.492221000727305,0.436146879916168,0.470717327948243,0.506398422230256,0.38868677937083,0.418961552894189,0.478424468595235,0.485869581654576,0.412531168087128,0.459538422589465,0.498745653922456,0.459085178125659,0.515706220558834,0.511234397790674,0.503135561405031,0.472678017832541,0.500994721227584,0.450521445020221,0.46966382056818,0.435259252239641,0.459004319183279,0.430075656170105,0.431704976301805,0.485516246121703,0.445302366478906,0.44395338769278,0.431818255955682,0.448786675677244,0.495970269329677,0.508761533830525,0.532416235915972,0.560020981081005,0.593930667334363,0.594254796063626,0.603034556222138,0.622648692923019,0.629388879544058,0.654707147094035,0.669702062089999,0.678024369086874,0.629629580839999,0.64487596193757,0.644028446412201,0.663511688094763,0.670088086673916,0.664840195908269,0.680556367010486,0.700060758853503,0.704887266790488,0.718757866399374,0.727166494742265,0.724357992427949,0.731203747265968,0.734144451478731,0.733369010559332,0.745214095313247,0.750770299593801,0.74505591042833,0.751890828455113,0.741551075917416,0.753652704818914,0.772235802073416,0.765880856501171,0.772787288341598,0.771222943571144,0.783242133061575,0.781669512818166,0.782190775709999,0.790025003459501,0.798920009243913,0.793364717314503,0.793023554328953,0.80178949966009,0.804112275534124,0.798164719494862,0.802899160518174,0.804843255280243,0.809254108076648,0.792405342355468
"Day004",0.132387568581548,0,0.126476234976324,0.191141767543823,0.246524163021492,0.282476756097485,0.247929650412314,0.249980381161248,0.277985873547509,0.27959816249796,0.323719162116186,0.355580250054223,0.301783164293018,0.274732416540879,0.229748204199933,0.25831772799179,0.228642809371432,0.246168242995771,0.212443113036373,0.345559825730733,0.339648323773112,0.396209397763583,0.482259785553402,0.474407049861092,0.517083651886878,0.462336927826661,0.460141551878713,0.31794984313682,0.348839944174651,0.453008705253589,0.397747981990852,0.432954558353141,0.468500769496081,0.345964901276919,0.348190496460222,0.384796429362328,0.381576216348355,0.317327421425146,0.352337654608187,0.393078166715723,0.353937211837696,0.410095400026908,0.406803679821442,0.396869172240953,0.3968436765827,0.399093609785918,0.383942991600803,0.378281743999588,0.368498194395802,0.376965121966727,0.359695332511977,0.356408870769551,0.386984319553219,0.38360104911459,0.36631621012,0.405838873152971,0.45700375773457,0.503210677197773,0.515749387128523,0.540988061443934,0.566947159470399,0.601596080131911,0.601365141562096,0.610866960210543,0.629033128801451,0.636627800742747,0.664440468354499,0.677646223848388,0.687548963356883,0.638349806068191,0.653823306006153,0.652606358910893,0.67038466709363,0.679660231653941,0.673685709966947,0.689391705440303,0.708213425582493,0.714175631919988,0.725092962707112,0.732660114421286,0.731819502067205,0.737802416874756,0.741194727678001,0.74131096776776,0.7500028639525,0.756957794882988,0.752655039867739,0.759384228884359,0.749208485256238,0.76239106887812,0.779886101172201,0.77440699716,0.78039144030145,0.781387833,0.792479016741323,0.791215433138077,0.792371279268961,0.799447743488969,0.808221897053698,0.801553175134124,0.802239961219347,0.809739143479536,0.81286853195345,0.807775159064621,0.813527778157879,0.816138225979888,0.820157031746512,0.802917801325219
"Day005",0.223429533055054,0.126476234976324,0,0.0978759427141274,0.159947502473589,0.190725509411675,0.168180829601682,0.181025373999526,0.200386682827986,0.199781846453996,0.238236753442853,0.271603019659136,0.223963499424322,0.202192386205792,0.210813922151838,0.264759902321028,0.256369038912309,0.271673324447226,0.262549827246872,0.335381371763292,0.336832688946264,0.387853291741635,0.473204942804732,0.466940528133327,0.508583550805258,0.458082529219356,0.461744381611926,0.321701076421047,0.336673903086683,0.444023684337798,0.393801291919092,0.429009985208565,0.454324610339098,0.342542886459447,0.353311137162034,0.386032819661581,0.377594000468008,0.323002849139845,0.32574555935,0.319264909637229,0.293825154281185,0.330602580153305,0.337876203239932,0.326311155383789,0.322124053519832,0.330841346693308,0.311712069239477,0.306424982780403,0.307910501521172,0.298250526258771,0.317189154353414,0.318432346799329,0.321285582303574,0.33218572639673,0.33399765021328,0.405973272640492,0.460295264047779,0.505923863677529,0.51865031230722,0.54064211967067,0.569282681315392,0.603951992763466,0.603433483323965,0.614529030441564,0.631952985981041,0.639568950451802,0.665642882311518,0.679373514164047,0.688166684541935,0.643137432946764,0.65949615991362,0.658817305008529,0.675127758509999,0.685065288390081,0.678192326752872,0.69513375257561,0.71300688935574,0.720899709343023,0.733528745377291,0.738844908882612,0.735395450688677,0.746228873495226,0.744218007038721,0.747145739157814,0.756391305602692,0.761873357892382,0.757544681617575,0.762773801003558,0.754978603245927,0.766356954697009,0.78532671367932,0.779442969227644,0.78480090099924,0.784841959397212,0.797545328777975,0.794570292324864,0.796163956705288,0.803116717164922,0.810295727309051,0.80527213589,0.805352352295402,0.814118341844647,0.819494229938123,0.81370426497,0.817714606152734,0.819452532314514,0.825739540830871,0.807413431760963
"Day006",0.283761959879257,0.191141767543823,0.0978759427141274,0,0.0945739791570233,0.122298001915611,0.114114332867718,0.151749983704241,0.155013049684924,0.156470562638435,0.187560287768746,0.215725894764899,0.203704065069629,0.215820442898022,0.23089714634461,0.295717849001693,0.300532904931968,0.314168674299713,0.315590230214753,0.361875714381906,0.359671422742847,0.40969967471,0.490102824130198,0.483367484368415,0.52054136406,0.474738924066363,0.47203049735792,0.338715088849354,0.357344860366066,0.460394693073168,0.412507022856436,0.449956833584752,0.471101630674378,0.365737898287084,0.376190332259262,0.39925652492,0.389276485615804,0.347931885279781,0.340713440809778,0.324404593337292,0.300493546381971,0.312123685303758,0.290736074011917,0.29242263763722,0.283075681080754,0.288095507224238,0.316097405949425,0.28799453057204,0.311341293502123,0.298461206119785,0.326632756313568,0.327040848749906,0.326728968633663,0.333706873516635,0.340766795132516,0.417642714766972,0.471613660332839,0.517075097172073,0.529292221311182,0.549478597433789,0.577133955669256,0.61302849031385,0.61476017036541,0.623322648962601,0.640545071021567,0.650359688212237,0.674573389172576,0.688508174612707,0.696396095951784,0.656592011296058,0.670496095093066,0.670361372058129,0.688810740089335,0.697493793360337,0.6928495592715,0.7080168807054,0.722321750773883,0.730883423301345,0.741887846603237,0.746911556730124,0.745871014906353,0.751755187352342,0.749857490966253,0.7535705435645,0.76225839025,0.767680395389293,0.764903660954701,0.768519875010416,0.761138462732692,0.774732748623516,0.789870898925216,0.786763320813456,0.789218105235784,0.788892155313222,0.801468354773971,0.799211657161003,0.801199755120874,0.809655440720469,0.815022732564624,0.810958036295672,0.809873645211445,0.820527406709871,0.82293331070328,0.819878377175404,0.821715081018023,0.824980263669626,0.83001379434595,0.813009020846545
"Day007",0.325736641977835,0.246524163021492,0.159947502473589,0.0945739791570233,0,0.0644526911427245,0.094468123973617,0.165782184548932,0.162675539678349,0.140839817676618,0.183849393198608,0.196946051779389,0.219373632967294,0.230954519548489,0.255550677452499,0.328502204618914,0.345408675912537,0.359052627827331,0.363814492449124,0.394620395476816,0.385666386793208,0.42510945832478,0.509784081747446,0.500532601892615,0.541095238446095,0.486323136038192,0.483070554848183,0.366107420414917,0.383739159789016,0.479112981851031,0.448851587045991,0.464042498029409,0.494856260406445,0.393873966250897,0.393512825183864,0.411429037731086,0.401654051803323,0.367692347888762,0.353656758484878,0.347266422869453,0.327444940398764,0.332823451023206,0.299802245762456,0.304264176428246,0.286456752178046,0.299290054244823,0.319310885145124,0.304897124223602,0.31941505200881,0.314064002271696,0.336263670214023,0.340228805071966,0.342288517005303,0.339575238207822,0.35862865890738,0.422173438990437,0.477036516221097,0.521366760172735,0.533884492395124,0.553328531262899,0.581244766606686,0.617629206889851,0.617417180812006,0.626650431821597,0.643103207835052,0.652802888278409,0.675798074485182,0.68975473931881,0.700960218111317,0.677580817256801,0.688543332337709,0.690735425213508,0.710278373100467,0.715923055294834,0.714531761862907,0.723947832451663,0.733247260641314,0.741691735041548,0.749079542133727,0.754405702683514,0.757781796140656,0.760892299176961,0.757852852670674,0.768361154589887,0.770957849258158,0.777100495098733,0.774684931773671,0.77631191420967,0.776028850740806,0.786011140345062,0.795361755779305,0.792117711666739,0.793986761860256,0.795559355787289,0.806464944271616,0.803098940977822,0.807055834168164,0.811267598819422,0.817331513645246,0.812812885345075,0.813613600871289,0.822873401361917,0.82681917436623,0.823467643517632,0.827122163011103,0.82748772373291,0.832972719650749,0.815275004296589
"Day008",0.35854356563944,0.282476756097485,0.190725509411675,0.122298001915611,0.0644526911427245,0,0.105280852532896,0.170964860465387,0.164413325194932,0.145970618647407,0.181608758581356,0.198433788279961,0.22596464899387,0.245857438162625,0.27280557917364,0.347925347377397,0.372891648588052,0.385263916192379,0.387127014660807,0.410968785493494,0.403490256419826,0.436399425886458,0.515133885663635,0.505451268120218,0.543041002676589,0.495236911609333,0.490320457739226,0.384651700465384,0.388029875027162,0.479499985642193,0.459747788892987,0.47519599900376,0.49865640135496,0.405074757677025,0.40477758189,0.420142488974914,0.410920758888219,0.382165680690573,0.364478752848691,0.351658580133791,0.333521326756674,0.336224284690217,0.306048569875303,0.31120484657,0.294783724063583,0.305520066837914,0.32370099138396,0.314117441225706,0.326096275358914,0.32611994834065,0.349845832130991,0.353642356078901,0.350070394000753,0.348295533103483,0.369939398809451,0.435858322161283,0.485638523742572,0.527919106376955,0.541064960447054,0.558725360881175,0.584654867610701,0.618507940066705,0.621134740999162,0.631492584587103,0.64940928867773,0.658789295869527,0.682513798243328,0.696680040233033,0.707334291284637,0.6899974658831,0.700058561542502,0.70151272551806,0.721567931841901,0.723180419865709,0.726534984783164,0.734645423351523,0.74134412505836,0.752209940167698,0.756819591556477,0.762912264056961,0.767117198233698,0.768728892788844,0.765202179583565,0.775021473740124,0.777637868238875,0.783446175918089,0.782121785873659,0.784920239119247,0.787451837530001,0.794186834332796,0.801123095344972,0.797771746173033,0.802573445927296,0.801405284512979,0.809227192375692,0.806202213402558,0.810136075851899,0.812278547412491,0.81872753756731,0.813950974787907,0.814473321134026,0.823215556952929,0.82647667397653,0.82384896768855,0.826580496561329,0.828236869853129,0.833196385259992,0.818086469319085
"Day009",0.357273466905368,0.247929650412314,0.168180829601682,0.114114332867718,0.094468123973617,0.105280852532896,0,0.103065303231699,0.103095386305515,0.0862813014051768,0.129845196841298,0.15062880134,0.183596872694492,0.20218926236388,0.232816677100821,0.306573366712665,0.336885314023369,0.345831696384396,0.345163196046548,0.378336421967566,0.364763195137643,0.397474133537823,0.472079848463604,0.465208848341979,0.506951534115487,0.453526015217155,0.449399820279717,0.346220727002689,0.357925684481106,0.446362340545536,0.428873125575721,0.441688020916042,0.464453053627322,0.371122868862577,0.36201347627595,0.376732126736371,0.368693227813157,0.335538710393454,0.322053511442882,0.31611779425,0.297308246442973,0.300630136295031,0.266772486431669,0.270856866368228,0.28218963221052,0.269087051903454,0.319242654931268,0.283875998392097,0.320136955295017,0.301023132200382,0.335352588976738,0.333820553033375,0.307336805786146,0.340422508509893,0.347284486606108,0.423189030835957,0.48131932378556,0.530308942658864,0.538222212788455,0.560106728392199,0.5863168458414,0.615987081016481,0.621291302578639,0.635108572116351,0.650837251006509,0.66087423220813,0.684291415091594,0.698594479890549,0.70991986212229,0.69198465594078,0.70137439427,0.705812733845587,0.724300077448972,0.728117136053296,0.72948593875,0.736560620308387,0.744461823654889,0.757161191604215,0.760073187881987,0.768644206623059,0.769855644999644,0.774036926104519,0.768887794979599,0.779383041105443,0.782598306644782,0.786792055113604,0.787468268639373,0.788292561014707,0.789906067245253,0.797459056927975,0.805938056649704,0.802648198377894,0.804175581102376,0.804956603407802,0.815050978250753,0.808917430487579,0.814880819466479,0.817861713347268,0.818778979841845,0.816871165192675,0.812463265148434,0.821874790567329,0.824994651560875,0.822907075642916,0.825135482935629,0.826337159877395,0.830465120074066,0.817202776013602
"Day010",0.360771365366077,0.249980381161248,0.181025373999526,0.151749983704241,0.165782184548932,0.170964860465387,0.103065303231699,0,0.0686826921913736,0.095293789462147,0.109486109447737,0.142333383377135,0.133029821513004,0.152355675613906,0.179777008327191,0.249634142669985,0.282221921872056,0.288932013758893,0.297274727526486,0.324945568976373,0.30950289728143,0.348214015934598,0.422359657132454,0.415911544932477,0.455984429983759,0.399953345901994,0.399835825377989,0.294653588084688,0.302584616938155,0.397013664346985,0.378957706775158,0.39449357239578,0.416340399438326,0.317611566843412,0.306729530486933,0.323400136512489,0.315761413023158,0.302349061651165,0.265202522259586,0.262853437078943,0.285224930972131,0.261580171782003,0.268930847820757,0.264736672167352,0.291236409300387,0.284526425833494,0.316892969791233,0.287168712441487,0.322496876745149,0.298945790100105,0.33739402399687,0.335687497413569,0.284462255494956,0.34334845876,0.346940068826326,0.425028951067249,0.47802217804783,0.530389327211824,0.537574560951503,0.564093085885641,0.587503054375439,0.617096606150632,0.622110667922995,0.634894583030872,0.655229602501381,0.66138413143307,0.688089194187618,0.700230706585995,0.712889504468369,0.69746354152605,0.70729618228561,0.710416555801312,0.729731579905135,0.7313275261097,0.733388631856001,0.7355578590643,0.747105755471148,0.752969404840238,0.760364162068342,0.767030606879516,0.771035614366262,0.774791932461126,0.771891262316313,0.779946905082103,0.78305997085156,0.787964526460459,0.791021038346416,0.78976303835159,0.791712569522083,0.796684662124917,0.805660105706802,0.804260509884894,0.807082422579743,0.808655708714784,0.815172837907986,0.811764281634941,0.817196250193656,0.820370733664611,0.82250871186935,0.818744807960031,0.814347983305865,0.823444996024703,0.823800392218239,0.822962516880263,0.82673446726307,0.826870873684807,0.8279874733614,0.819359610600968
"Day011",0.387061828655483,0.277985873547509,0.200386682827986,0.155013049684924,0.162675539678349,0.164413325194932,0.103095386305515,0.0686826921913736,0,0.0700350743760505,0.0842427861720514,0.115223063009815,0.12852817001536,0.156641796864336,0.190889242766182,0.261585307924768,0.295501881054658,0.306978448622279,0.313677068357748,0.330900639906727,0.317272387811927,0.350830936123771,0.418574325127093,0.409781732647707,0.458721157036468,0.394372381847606,0.399942831944,0.308987632355646,0.3010341248,0.391933250863443,0.392376476282152,0.393715490772125,0.410421540273583,0.32492350323388,0.308161470618429,0.317476990832937,0.312192877314391,0.305243214433053,0.263375737243683,0.26643874208301,0.282596334735109,0.2599538366563,0.246543640335069,0.249514527552534,0.288328764522883,0.26605050734633,0.323297180641355,0.287195318624256,0.327027253246162,0.293567809053029,0.341547254196585,0.338040459963522,0.277387680898065,0.345785456579253,0.346563692105542,0.429540959431342,0.488166059018388,0.53518406151,0.543584401329129,0.562858604811857,0.587117102450132,0.61614316776374,0.621751195405674,0.636227919652733,0.652059945882178,0.661856960593382,0.685148169665921,0.700858809633931,0.711451117905474,0.704062798713674,0.713194993502906,0.717277855148482,0.735770591741321,0.737717506996395,0.738653336621761,0.746510411760988,0.7559903789761,0.766586347735331,0.769357502470742,0.776928826273346,0.77970652918,0.782344516704148,0.77866506677,0.786585643274542,0.788336651604708,0.791127666123134,0.796705980548983,0.793063456404138,0.801541024743893,0.805083026206822,0.809217662948124,0.808075743826314,0.813451958151605,0.810654404956094,0.816180701709081,0.814572413686291,0.815580330384754,0.819617677765412,0.82198300095,0.819669405630902,0.816681992237168,0.826084044695218,0.826058719688697,0.827875654190861,0.830845113003384,0.830573864565083,0.832173028391678,0.822504104521775
"Day012",0.384717079711548,0.27959816249796,0.199781846453996,0.156470562638435,0.140839817676618,0.145970618647407,0.0862813014051768,0.095293789462147,0.0700350743760505,0,0.083850625111677,0.109623238551096,0.153916502506922,0.178768399396956,0.208407734782294,0.280180619824806,0.315908863056319,0.32558217480593,0.33116080105,0.35265869526058,0.339207814582952,0.371762902199741,0.440305799446419,0.436527908395913,0.478268863878261,0.415953876416994,0.422509375392464,0.329357030716826,0.322125294562717,0.41810839102,0.416217285349567,0.416355260589572,0.435042267181526,0.347701549226523,0.329856644390052,0.341785411197343,0.337286820396687,0.308075303925025,0.285919386714296,0.288526356192885,0.286180438715724,0.269368153516163,0.240900815543432,0.250883499531237,0.287090856563661,0.269913812056195,0.319810631274415,0.289641950475138,0.325766226548978,0.291180052514426,0.342724568670423,0.341329267127427,0.276694270968301,0.347291837213264,0.352468491049426,0.431382972369902,0.487910137650242,0.535462995374451,0.543377727824019,0.566485002827833,0.590893021318179,0.619916227642307,0.624996208705,0.635597767932712,0.655265193213105,0.662541896314815,0.687735910749109,0.701565172667461,0.713412434469878,0.70755322873731,0.717059582977171,0.718319757122958,0.737094227016855,0.740459865292367,0.740905311167409,0.743798860106694,0.760029531222801,0.765184864432389,0.772588381827523,0.775649825211026,0.778655859397826,0.781944563102181,0.781150911377964,0.789231630032646,0.790441778313235,0.796204963941848,0.800033458508002,0.795356955612837,0.801579476242977,0.804105446776083,0.812152374037514,0.810865436355675,0.815324149631533,0.814881596905554,0.818047258799083,0.81826831916637,0.819701504084508,0.821074873395527,0.825394378690397,0.823514479721176,0.821577322187698,0.829651468415742,0.828787819059145,0.828054294421402,0.833196044554162,0.831949782365799,0.834513838512553,0.82422312912209
