Sample,Period,Clostridium_sensu_stricto_6,Propioniciclava,Streptococcus,Anaerolineae_SJA_15,Clostridium_sensu_stricto_12,Clostridium_sensu_stricto_3,Ornatilinea,Anaerolineae_SBR1031,uncultured_Ardenticatenales,Bacteroidetes_vadinHA17,Syntrophobacter,Smithella,Syntrophorhabdus,Syntrophomonadaceae,Syntrophomonas,Syntrophus,Methanosaeta,Methanolinea,Methanobacterium,Micrarchaeales,Candidatus_Methanofastidiosum,Methanomethylovorans,Methanospirillum,Methanomassiliicoccus
3,Stage1,20.6653742,0,13.5190648,2.230011154,0.036260294,0.048347093,3.426602469,2.97032644,3.571643846,1.172417818,3.831509606,0.474406126,0.426059034,0.138997978,0,0.096694285,9.557622219,1.111983828,0.673838096,1.118027227,0.19036677,0.19641017,0.00302,0.090650886
4,Stage1,24.21196478,0.023656007,20.50092236,1.753504584,0.029570108,0.050269114,2.930392909,2.365604753,3.019103133,0.987639973,2.957005916,0.354840698,0.381453805,0.138979238,0,0.082796123,8.359455807,1.055651091,0.623928272,0.863445738,0.186291351,0.195162354,0,0.059140116
5,Stage1,23.9436271,0.029530204,27.95436578,1.688590804,0,0.032214804,2.673825824,2.131543858,2.4832218,0.896644408,2.271141175,0.295302036,0.265771832,0.187919523,0,0.040268505,5.906041015,0.8268457,0.593288672,0.65771818,0.201342324,0.102013412,0,0.08053691
6,Stage1,22.30076029,0.0502496,34.93350293,1.480687393,0,0.0502496,2.187531389,1.735285291,2.505778687,0.757093596,2.180831489,0.261297799,0.224448099,0.170848499,0,0.0502496,5.309704873,0.753743596,0.505845697,0.475695998,0.147398699,0.127298899,0,0.0703494
7,Stage1,21.08563645,0.012667801,41.49987674,1.292120707,0,0.069673206,2.220040684,1.744996345,2.223207685,0.753737063,1.80833555,0.262857922,0.174182914,0.142513312,0,0.038003503,4.082214639,0.582721148,0.411705134,0.36103373,0.155181213,0.091841908,0,0.044337504
8,Stage1,20.2342465,0,43.66192934,1.180381912,0,0.122003301,2.171658622,1.686695517,2.00390412,0.768620808,1.680595417,0.250106803,0.176904802,0.176904802,0,0.057951601,3.464893635,0.558165106,0.427011504,0.329408903,0.088452401,0.103702801,0,0.054901501
9,Stage1,24.27248889,0,37.95697849,1.431710564,0,0.143171086,2.1042816,1.598188548,1.921155817,0.792435125,1.754677833,0.20643268,0.159818885,0.153159785,0,0.033295597,2.956648819,0.429513159,0.412865361,0.31297857,0.126523288,0.049943395,0.006659999,0.039954696
10,Stage1,30.05307548,0,32.65958083,1.504014829,0,0.15992916,1.789845758,1.847692444,2.113106878,0.857492688,1.684360584,0.210970448,0.112290672,0.210970448,0,0.027221993,2.705185132,0.551245264,0.340274816,0.244997939,0.105485174,0.115693471,0,0.078263181
11,Stage1,30.8247007,0,34.6071859,1.463121733,0,0.159230925,1.303890807,1.811627188,1.751539978,0.877272139,1.412047725,0.156226525,0.114165518,0.228331136,0,0.042061007,2.286315564,0.447649171,0.318461851,0.219318035,0.108156817,0.093135015,0,0.039056606
12,Stage1,28.27281031,0.018525396,37.12793969,1.732122584,0,0.142027866,1.114610032,2.006915618,1.719772387,0.744102621,1.327651881,0.194516453,0.194516453,0.234654744,0.018525396,0.024700494,2.420649019,0.503272679,0.29331843,0.302581127,0.129677669,0.061751285,0,0.052488587
13,Stage1,34.35630403,0,36.69998531,1.559506151,0,0.120869119,0.893252144,1.356092318,1.370832421,0.701630413,1.040653468,0.18867373,0.112025018,0.191621731,0.035376306,0,1.942749613,0.445152072,0.244686239,0.253530341,0.091388815,0.085492814,0,0.06190861
14,Stage1,36.06467105,0,38.06700387,1.39320891,0,0.152281001,0.648004105,1.150207408,1.091887008,0.712804605,1.040046707,0.174961101,0.0712805,0.171721101,0.0421203,0.0259202,1.603810311,0.320762102,0.243001602,0.220321402,0.074520501,0.0615604,0,0.0259202
15,Stage1,39.05275289,0.020605202,31.29930818,1.477687636,0,0.167785215,0.994937092,1.256917616,1.351112824,0.815377475,1.368774426,0.153067214,0.164841615,0.097138809,0,0.047097604,3.502885022,0.456258142,0.341457731,0.32673973,0.091251608,0.070646406,0,0.035323203
16,Stage1,38.76964777,0,28.29136461,1.59202304,0,0.280547607,1.088389427,1.375697134,1.443299036,0.770660819,1.696805842,0.209565705,0.182524905,0.138583703,0,0.060841602,3.833023596,0.611796515,0.38871051,0.38195031,0.158864304,0.077742102,0.00676,0.070981902
17,Stage1,37.61470817,0,23.13954307,2.095790815,0.142087508,0.343378119,1.45639698,1.610325089,1.888579804,0.893967249,1.983304809,0.236812513,0.201290611,0.162808609,0,0.053282803,4.36623074,0.790361743,0.408501622,0.520987529,0.195370311,0.103605506,0,0.044402302
18,Stage1,42.06830034,0.020916097,16.0725469,2.157348704,0.603579517,0.552783224,1.419308406,1.655361773,1.834642849,1.015925961,2.139420607,0.29282576,0.340634053,0.259957564,0,0.056772292,4.762900147,0.887441278,0.400394345,0.528879128,0.167328977,0.095616587,0,0.029880196
19,Stage1,37.47474795,0,13.23491336,2.173012226,0.875420911,1.206941214,1.820771822,2.061642125,2.113442125,1.025641012,2.595182631,0.354830404,0.310800304,0.170940202,0,0.085470101,6.824656882,1.041181012,0.510230506,0.81067081,0.186480202,0.121730101,0,0.082880101
