day,Tr_Level6,zero_interaction,weak_interaction,MeanIS_without_zero,MeanIS_with_zero,MeanICwithout_zero,connentance,negative_IS,positive_IS,MeanIS_Negative,MeanIS_Positive,shannon_interaction_type
3,51.00069811,91.55912669,96.38016395,0.068151251,0.005752561,1.277068482,0.084408733,3.360116874,5.080756432,0.072279649,0.065420968,0.586652339
4,52.73669429,93.63688012,97.05381057,0.079156117,0.005036799,1.118169294,0.063631199,2.654005357,3.70911452,0.076386964,0.081137546,0.47858378
5,59.22434604,93.08497687,97.19178638,0.071191812,0.00492293,1.092890525,0.069150231,2.402402402,4.512620729,0.076080677,0.068589107,0.504667861
6,56.81979059,90.46343641,95.58477396,0.067966506,0.006481669,1.43893053,0.095365636,3.506208912,6.030354679,0.060817779,0.072122966,0.637453775
7,57.04141226,91.27505884,96.11232854,0.086803121,0.007573521,1.68132172,0.087249412,3.059816573,5.665124584,0.086710863,0.086852951,0.595548541
8,56.14809839,89.57065173,95.4305657,0.07675285,0.008004822,1.777070501,0.104293483,3.481860239,6.947488029,0.071641684,0.079314405,0.669769075
9,58.9139021,89.75732489,95.4954955,0.075231155,0.007705683,1.710661585,0.102426751,3.392581771,6.850093337,0.069165906,0.078235034,0.662833581
10,58.69687655,90.35792549,95.89319049,0.081313711,0.007840329,1.740552956,0.096420745,3.22214106,6.419933447,0.080420119,0.081762202,0.637711658
11,60.80209129,90.14690366,95.68216866,0.07759119,0.007645135,1.6972199,0.098530963,3.384465547,6.468630793,0.069676268,0.081732372,0.647072033
12,60.1668928,88.84019154,95.11403295,0.073574339,0.008210755,1.822787671,0.111598085,3.725346969,7.434461489,0.069463945,0.075634023,0.705657525
13,59.79046118,92.21654087,96.6317669,0.079784376,0.006209984,1.378616514,0.077834591,2.475448421,5.308010713,0.076143371,0.081482398,0.54466896
14,66.86262237,89.23788654,95.60912264,0.064197045,0.006908959,1.533788849,0.107621135,3.343884425,7.41822904,0.061463428,0.065429266,0.683215906
15,64.64544936,89.55441928,96.25030436,0.064066304,0.006692098,1.485645649,0.104455807,2.897492087,7.548088629,0.067772919,0.062643442,0.660169445
16,67.88098402,89.78167357,96.58306956,0.056538058,0.005777243,1.282548014,0.102183264,2.483564646,7.734761789,0.056894042,0.056423754,0.646450198
17,63.98491361,88.96193491,95.20331142,0.07689246,0.00848744,1.884211644,0.110380651,3.847090334,7.190974759,0.07402659,0.078425669,0.702105401
18,67.0863059,88.49931012,94.87866245,0.070423845,0.008099228,1.798028611,0.115006899,3.912020128,7.588669751,0.060697367,0.075437922,0.716571225
19,73.36514626,91.33187241,95.7633309,0.096696172,0.008381748,1.860747956,0.086681276,3.027351676,5.640775911,0.089634053,0.100486345,0.591162566
20,56.13566625,86.55953251,94.06704001,0.065191342,0.008762021,1.945168684,0.134404675,5.096988881,8.343478614,0.062027815,0.067123924,0.801974687
