variable,H2,CO2,CH4,Formate,Acetate,Propionate,Butyrate,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111
1,0.709775517364968,-0.0245383980333646,-0.053207034591145,0,-0.0187552874552372,-0.0436322872754313,0.029581714454463,0,0,0,-8.18239857100143e-4,0,0,0,0,0,-0.00542338878719358,0,0.00942371570867979,0,0,0,-0.00567351182260052,0.0582472925889119,0,0,0,-9.16604460416173e-4,0,0,-0.0149081280683624,0,0,0,-0.0173543846440506,0,0,0,0,0,-0.0225262891728848,0,0,0,0,-0.0461936672519604,0,0,0,0,0,0,0,0,0,0,-0.00158303496657987,0.0546878774420175,0.0521286817361977,0,0,0,0,-0.0195334381152643,0,0,-0.0647087650264487,0.0822102261504029,0,0,0,0,-0.0299839874336689,0,-0.0371135815874151,0,0,0,0,0,0,0,-0.0835006430440018,0,0,0.0552713291780587,0,0,0,0,0.0211271936985231,-0.0565050029342212,-0.0132410152850794,0,0,0,0,0,0,-0.092191297708622,0,0,0,0.0121313203291436,0.0332416991152221,0,0,-0.12096105904099,0,0,0,0,0,-0.0127781226528921,0.0119637064237014,0,0,0
2,0,0.124525053583739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.405187032871916,0,0,0,0,0,0,0,0,0,0,0,-0.122162415051199,0,0,-0.320728149223406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.357737970182405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193262396336761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,-0.0844048715990726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10754620854469e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.0887454598999323,0,0,0,0.830960101032578,-0.151926254506441,0,0,0,0,0,0,-0.07916265891863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395044538067615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070061719278736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.058188847369305,-0.0227352697802177,0,0,0.714436270128245,-0.00579207967057124,0,0,0,0,0,0,0,0.0132281833917735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724502907304717,0,0,0,-0.257855589197723,0,-0.0823334888120433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546005498139268,0,0,0,0,0,0,0,0,-0.0134843844343958,-0.00122107876499407,0,0,0,0,0,0,0,0,0,0,0,0.0430782932793444,0,0,-0.06441708863799,0,0,0,0,-0.0106930125127135,0,0,0,-0.0169144513517001,0,0,0,0,0,0,0,0.0112698953789595,0,0,0,0,0,0,0,-0.077095318283556,0,0,0,0,0,0,0,0,0,0
7,0.608241723104719,0.0132658170052322,-0.0634275616530917,0.0798405678285525,-0.0379716983820598,-0.0507946569204725,0.690032449149628,-0.00168025704728648,0,0,0,0,-0.0383564128260303,0,-0.0123435780281325,-0.00630722241671624,-0.0218775502206609,0,0,0,0,0,0,0,0,-0.0050192822391798,0,-0.00545097850973518,0,-9.23232224439592e-5,-0.0534653627459895,0,0,-0.128453459890537,-0.00128513553786772,-0.0713367832709711,0,0,0,-0.0111196843733942,-0.0379067192519869,0,0,0,0,-0.0414000875821697,-0.00731841854090147,0,-0.00168687441061456,0,-0.0147742902127212,-0.0302810569588857,0,-0.0164064776441309,0,-0.00504953561241093,-0.00193143798053955,0.144693396815027,0,0,0.015572387439801,0,-0.00414118645238926,-0.0663051705016691,0,0,-0.0969924079081549,0.142854500602441,0,0,0,0,-0.00858193242736428,0,0,-0.0732236436184499,0,0,0,0,0,0,-0.08732033559244,0,0,0.0759847450148088,0,-0.026293371561751,-0.0304595232817301,0,0,-0.0714334650589627,-0.0043389773610193,0,0,-0.00165218460169997,0,0,0,0,0,0,0,0.0705554881778058,0.105069022370205,0,0,-0.0674288179991106,-0.0467606196683458,0,0,0,0,0,0,-0.0123213393399201,0,0
8,0.00128957932629432,0.0122397583507158,0,0,-0.0648032382367808,0,0,0.206614119173423,0,0,0,0,0,0,0,0.164251709338276,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174728648300493,0.0552354886114713,0,0.0591233466080821,0,0.186861686429756,0,-0.10085905182664,0,0,0,0.0817203144472628,0,0,0,0,-0.0438372298694221,0,0,0.0627540536445939,0.0472188116483488,0,0,0,0,0,0,0,0.0520135989913658,0,0,0,0.0267969421369936,0.171207785068982,0,0,0,0,0,0,0,-0.0294115570533852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129558191151255,0,0
9,0.0723346216648024,0.0628348881586531,-0.027033727878254,0.0558173843767997,-0.00826101791722789,0.0412569973881526,0,0,0.279815243300268,0,0.0101430535792351,0,0,0,0.00795356272728036,0,0.0763143339109691,1.3606120408355e-4,0.0202155080091727,0,0,0,-0.0168622496260958,-0.0775215544081599,0,0,0,0,0,-0.109529069784943,0,0,-0.0422909758906312,0,0.0197317261369558,0,0.0171918475573511,0,0,0,0,0,-0.0417182013932792,-0.00679796774379569,0,-0.0506741637003253,0,0.0111952676188687,-0.00247505169977692,0.0261467542623702,0,0,0.0277296560869978,0.0863754282601394,0,0.010989330927621,0.0116497507903209,0.101924764833473,0,0,0.0259268971797041,0.0108727629926614,0,-0.0148236904381761,0,0.0191519762720932,0.111451670772986,-9.32533641847014e-4,0,0,0.157846840199033,0,0.0527544802301996,0,0,0,0.0837010836267828,0,0,0,0.0156531940210864,0,0.0341000583204644,0.00183089857955139,0,0.0431315538112846,0.0438633130196862,0.0940985394529666,-0.0145473297963299,0,8.59920259953632e-4,0,0,0.0068839807138317,0.0143811891821373,0,0.0142194810407328,0,0,0,0,0,0.0304340957459283,0,0.0692722382067134,0,0.0397529760571018,0,-0.00132661599522306,0,0,0,0,0,0,-0.0157864094193622,0,0.0718668650268081
10,0,0,0,0,0,0,0,0,0,1.00447173815457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01124729092404,0,0
