"In_sample","theta","alpha","lambda","rho","mae","rmse"
1,4,0,0.00439397056076079,0.339127822306627,0.304907287398689,1.2660329750159
1,1.5,0.9,0.0517947467923121,0.636558734520607,0.453610580830214,0.716020590229168
1,4,0.95,0.0848342898244071,0.568388132797078,0.512975219088864,0.820363196678728
1,0,0.25,1,-0.456746655014502,0.57135871086927,1.04884785650081
1,0.25,0.125,0.227584592607479,0.781403800865766,0.426616848638052,0.623200685261734
1,6,0,1,0.807105323165207,0.4276170408477,0.602770921812551
1,6,0.125,1,0.618327636336582,0.433365580011408,1.02927678744364
1,0.05,0.325,0.0517947467923121,0.927688903470298,0.253381655681113,0.374541062203517
1,6,0.05,1,0.882738028569251,0.263956666233563,0.396098388286085
1,0.75,0.075,1,0.969033580382406,0.153411535524224,0.246506509992118
1,2,0.075,1,0.761330013231449,0.29091557133935,0.544920550425595
1,8,0.05,1,0.949665069067593,0.184327898248287,0.314253266944258
1,8,0,0.610540229658533,0.674976611054437,0.387560115745279,0.660963953109538
1,6,0.05,1,0.875732504715192,0.324739588127991,0.445909097357558
1,4,0.825,0.00268269579527972,0.955923837230631,0.208425540251939,0.30308313037074
1,0,0.75,0.0117876863479359,0.978571724571069,0.143243673683447,0.206711679995071
1,4,0.85,0.0517947467923121,0.468896732259778,0.676000328290848,0.897394656342991
1,8,0.975,0.0316227766016838,0.812624554011704,0.371811232080122,0.594720493319845
1,0.5,0.025,1,0.779073548836528,0.426092124740401,0.607674586978334
1,8,0.075,0.138949549437314,0.913435047436009,0.286864796823251,0.41692155578777
1,8,0.075,0.372759372031494,0.932080297576764,0.234549958726392,0.37378294138398
1,8,0.625,0.0316227766016838,0.770794240159593,0.31104926861626,0.582377551324138
1,8,0,0.227584592607479,0.696302319755316,0.525512816060643,0.744285301782924
1,8,0,0.372759372031494,0.805602495236641,0.429078657967251,0.605116346333159
1,8,0,1,0.8876836392809,0.301288133059953,0.45216460605834
1,4,0.05,1,0.814881426455076,0.368080342106056,0.51132048487579
1,8,0.025,0.00268269579527972,0.972941568289269,0.150851517138406,0.234802547076106
1,8,0.05,0.0848342898244071,0.951315306187717,0.211273823876569,0.309857431099467
1,6,0.075,1,0.832851324856738,0.346048153137235,0.497790289541242
1,8,0.025,0.0193069772888325,0.938523348094281,0.231718189909374,0.351839469399641
