Date,SampleID,Day,pH ,"ORP
(mV)","EC
(mS/cm)","COD
(mg/L)","Alkalinity
(mg/L)",Glucose(µM),Formate(µM),Acetate(µM),Propionate(µM),Butyrate(µM),"H2
(Pa)","CO2
(Pa)","CH4
(Pa)","Gas production
(L/day)",H2 production (L/day),CO2 production (L/day),CH4 production (L/day),"COD Removal 
efficiency (%)","COD Removal 
rate (mg/L/day)","Temp_avg
(°C)",HRT(day),Loading(mg/L/day),"Qcarbon
(mL/day)","Qtotal
(L/day)","SS from effluent 
(mg/L)","SS in Reactor
(mg/L)",DNA conc (ng/uL),ΔG'
2021/10/14,UASB_004,3,6.61,-444,4.15,85,1533,0,29.65,220.41,272.97,39.73,13.18,32177.79,63747.59,25.74,0.02,8.18,16.2,96.35,981.36,33.26,2.29,1025.02,1383.78,23.63,190,11600,430.61,-870.19
2021/10/15,UASB_005,4,6.59,-444,3.92,95,1493,0,0,185.49,293.28,42.4,19.5,34742.93,63368.24,26.36,0.02,9.04,16.49,95.92,1125.11,33.94,1.98,1009.99,1363.48,27.21,134,6700,337.45,-869
2021/10/16,UASB_006,5,6.58,-446,3.83,83,1428,0,34.03,227.52,403.44,37.64,16.8,35483.35,63019.99,29.13,0.02,10.2,18.12,96.43,1119.1,33.23,2.01,1012.22,1366.5,26.92,113.31,6499,318.31,-868.19
2021/10/17,UASB_007,6,6.58,-447,3.77,54,1433,0,23.58,241.97,390.31,58.49,13.6,35552.04,63223.49,29.32,0.02,10.29,18.3,97.68,1142.49,33.23,1.99,997.96,1347.25,27.13,103.32,4800,311.13,-867.91
2021/10/18,UASB_008,7,6.58,-447,3.75,94,1455,0,39.22,247.24,266.99,38.16,63.28,35348.04,63374.22,30.24,0.09,10.56,18.93,95.96,1068.43,33.03,2.09,1001.44,1351.94,25.83,71.17,5100,326.43,-869.67
2021/10/19,UASB_009,8,6.53,-443,3.73,85,1586,0,37.68,248.53,296.16,31.74,8.06,34505.17,64001.91,29.15,0.01,9.93,18.42,96.35,1076.24,33.23,2.08,937.01,1264.97,25.91,77.13,4799,293.96,-869
2021/10/20,UASB_010,9,6.6,-448,3.78,110,1625,0,37.97,225.48,236.83,26.72,5.57,34401.15,63902.1,33.78,0.01,11.47,21.3,95.27,1094.24,33.23,2.03,823.73,1112.03,26.64,86.46,3601,263.64,-870.02
2021/10/21,UASB_011,10,6.71,-443,3.79,92,1618,0,0,269.91,366.5,30.45,16.72,35660.55,63170.02,30.78,0.02,10.83,19.19,96.05,1106.17,32.4,2.02,992.31,1339.62,26.71,75.83,4000,275.45,-867.98
2021/10/22,UASB_012,11,6.7,-445,3.74,87,1613,0,0,336.91,397.37,39.11,21.51,35277.6,63555.31,28.86,0.03,10.05,18.1,96.26,1133.81,32,1.98,1002.42,1353.27,27.32,87.03,4001,256.17,-866.9
2021/10/23,UASB_013,12,6.71,-451,3.7,107,1601,0,36.62,326.72,449.33,0,22.95,36360.7,62496.87,30.52,0.03,10.95,18.83,95.4,1126.61,32.9,1.97,983.52,1327.75,27.39,102.51,3700,273,-866.94
2021/10/24,UASB_014,13,6.7,-451,3.64,68,1569,0,23.6,260,284.18,30.94,21.69,36415.82,62403.69,30.19,0.03,10.85,18.6,97.08,1124.16,32.6,2.01,994.42,1342.47,26.86,93.33,3500,256.1,-868.65
2021/10/25,UASB_015,14,6.68,-450,3.61,211,1535,0,22.6,827.39,657.66,135.5,24.26,36272.86,62452.98,29.5,0.03,10.56,18.19,90.94,1044.85,32.39,2.03,1035.19,1397.51,26.65,480.08,3101,195.09,-861
2021/10/26,UASB_016,15,6.53,-452,3.51,266,1493,0,33.6,1080,712.95,221.86,54.81,37592.61,60444.6,27.72,0.07,10.29,16.54,88.57,1024.85,32.84,2.01,993.16,1340.77,26.84,1084.81,2400,161.42,-856.61
2021/10/27,UASB_017,16,6.53,-456,3.6,328,1517,0,36.91,532.44,362.62,203.05,299.66,37378.54,60706.33,26,0.32,9.61,15.61,85.91,977.69,33.22,2.05,996.35,1345.07,26.4,965,2600,156.88,-862.62
2021/10/28,UASB_018,17,6.54,-451,3.61,359,1555,0,40.65,1977.2,1017.16,903.79,510.32,37229.57,60468.95,24.82,0.52,9.14,14.85,84.58,937.37,33.46,2.1,1013.84,1368.68,25.71,653.5,3301,212.31,-838.15
2021/10/29,UASB_019,18,6.52,-459,3.61,469,1497,0,36.53,1555.56,750.98,730.83,808.8,37122.66,60160.68,25.13,0.88,9.23,14.95,79.85,910.65,33.31,2.04,991.46,1338.47,26.45,849.93,4400,243.14,-844.4
2021/10/30,UASB_020,19,6.52,-463,3.64,469,1510,0,49.06,1919.35,819.06,976.21,1226.74,37939.52,58605.77,22.88,1.15,8.59,13.27,79.85,919.47,33.16,2.02,1014.87,1370.08,26.71,760,3900,182.94,-834.51
2021/10/31,UASB_021,20,6.61,-453,3.69,159,1580,0,36.91,532.44,362.62,203.05,61.36,34990.34,63819.45,28.7,0.08,9.92,18.09,93.17,1068.46,33.59,2.03,996.03,1344.64,26.6,915.31,4502,227.02,-864.19
2021/11/1,UASB_022,21,6.59,-451,3.71,114,1603,0,0,384.19,412.01,49.86,68.13,35694.36,62869.2,26.93,0.08,9.49,16.72,95.1,1159,33.41,1.91,970.01,1309.51,26.27,804.79,5898,358.69,-866.13
2021/11/2,UASB_023,22,6.58,-450,3.58,128,1547,0,40.21,526.66,520.22,53.26,55.36,35856.75,62218.34,27.2,0.06,9.63,16.71,94.5,1008.01,33.16,2.18,998.07,1347.4,26.74,714.7,3698,209.26,-864.24
2021/11/3,UASB_024,23,6.55,-451,3.57,233,1533,0,37.54,1276.16,699.45,146.35,91.18,37425.38,60761.57,24.9,0.1,9.21,14.95,89.99,1032.06,33.33,2.03,1004.53,1356.12,26.6,1584.6,2499,153.34,-855.38
2021/11/4,UASB_025,24,6.53,-451,3.62,366,1590,0,0,2131.13,858.6,526.4,324.1,38250.51,59131.12,22.73,0.31,8.6,13.3,84.28,960.99,33.24,2.04,1001.67,1352.25,26.45,1315,1300,117.06,-840.58
2021/11/5,UASB_026,25,6.54,-453,3.61,384,1530,0,41.45,2286.88,965.11,803.02,417.96,38034.71,59591.97,22.46,0.39,8.45,13.24,83.51,959.1,33.32,2.03,1008.28,1361.18,26.64,960,1100,85.77,-834.33
2021/11/6,UASB_027,26,6.53,-451,3.66,392,1539,0,0,2300.58,958.64,737.74,408.81,38846.78,58788.86,22.77,0.38,8.75,13.24,83.16,945.95,33.35,2.05,1014.04,1368.95,26.39,469.92,800,86.87,-835.48
2021/11/7,UASB_028,27,6.53,-454,3.66,425,1536,0,21.73,2424.89,1062.23,741.87,391.96,38921.17,58821.87,22.96,0.37,8.84,13.36,81.74,931.92,33.36,2.04,1005.79,1357.81,26.44,620,1100,81.02,-833.99
2021/11/8,UASB_029,28,6.52,-454,3.72,425,1551,0,40.95,2448.71,1150.18,694.51,457.8,38841.59,58658.56,21.74,0.41,8.35,12.62,81.74,922.17,33.14,2.06,1018.67,1375.2,26.17,619.9,600,73.1,-832.22
2021/11/9,UASB_030,29,6.53,-456,3.74,489,1564,0,50.25,2548.82,1508.91,714.03,394.51,39473.62,58313.18,23.28,0.38,9.09,13.43,78.99,904.05,33.25,2.03,1002.6,1353.51,26.55,659.89,800,75.98,-829.45
2021/11/10,UASB_031,30,6.58,-453,3.75,225,1595,0,28.96,1080.4,836.6,178.74,114.98,36408.4,62213.85,31.63,0.15,11.38,19.45,90.34,1018.55,33.37,2.06,1000.11,1350.14,26.15,700.06,2700,172.84,-858.44
