,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Firmicutes,37.47904783,47.44218125,56.06171775,61.06663078,65.09057764,67.0591108,64.69667535,64.75809002,67.54093251,67.56434791,73.04619838,75.96876635,71.83523464,68.86259958,62.83819784,61.17667899,54.93379609,53.87679822,44.43760717,65.51843826,66.04298395,71.10501412,79.53487898,79.25719487,86.48989101,83.76332878,85.27499483,70.599105,74.50069775,73.03437729,70.00729805,74.65519561,80.07335674,67.25170575,69.85870065,76.46339353,77.59027975,67.93384906,73.34910541,78.8317804,74.10320403,79.68410644,78.99772818,76.83118128,71.6726028,74.35793542,65.48413242,68.28723103,62.3914109,65.18196079,59.41219362,58.9868096,66.44821173,57.69580617,57.11556944,51.23004965,45.73043455,43.31612426,44.26007661,44.200896,43.47632356,40.16512934,40.75553865,38.89524904,37.91174035,36.37821455,35.12792538,33.52943043,32.39407674,25.73681572,25.20962324,23.0066375,21.9079851,21.41358187,20.24226207,20.36569033,19.49207677,17.13231996,16.1353316,15.69824155,15.37154726,14.93484266,16.3501352,14.78380187,15.32506141,15.04716434,12.54374164,13.34734773,12.10311998,12.73731963,13.87602758,13.29253769,13.88357843,13.77516613,12.82131774,12.43924207,11.91255559,12.37148841,12.70978301,13.53811122,15.74335936,15.87755982,15.3063344,15.80995698,16.07809447,17.33301615,18.94875806,18.30458581
d__Bacteria;p__Bacteroidota,2.367685876,1.984150113,1.685905181,1.423737897,1.431466956,1.399987804,1.518279259,1.660009377,1.604326255,1.482012859,1.294183549,1.422369103,1.499930297,1.723846507,2.042507798,2.118504713,2.385385504,2.29862719,2.566758161,1.805745875,1.653826146,1.679998115,1.25005073,1.712538425,1.526273131,1.444521555,1.552788633,1.870048919,1.676556075,1.873442838,1.912548377,1.55015916,1.39735086,2.433249819,2.234324456,2.012132719,2.105263101,2.527336787,2.010081569,1.539293513,1.639772498,1.456452004,1.34431794,1.509969742,1.7497147,1.679251419,2.225844309,2.119997337,2.54270382,2.403943611,2.669248079,2.401079059,1.710000793,2.085228206,1.99208624,2.344190552,2.488840402,2.493736044,2.168487457,1.948073434,2.048101725,2.104497052,2.3268854,2.416841602,2.610795141,2.415126014,2.438559517,2.384965195,2.271399666,2.927869794,2.632302529,2.547252877,2.474233257,2.530840514,2.689329064,2.485080404,2.825879755,2.573187875,2.422759349,2.330207718,2.475029978,2.321969193,2.4946104,2.587655395,2.439952795,2.552469055,2.53775119,2.822899906,2.91172962,3.022257861,3.208347985,3.074396773,3.082810329,2.908182797,2.940253209,3.076028637,2.777024969,2.540545603,2.507052498,2.673492544,2.66539596,2.924158725,2.6850616,2.836797489,3.034740364,2.968036732,3.183802143,3.155721764
d__Bacteria;p__Spirochaetota,0.764061861,0.860488332,0.668456075,0.686744199,0.51621482,0.918074803,2.007724546,1.568676361,1.183716367,0.932433064,0.837239532,0.767884902,0.73292254,0.804461703,1.107098499,1.054770357,0.973838185,1.043245415,1.136106094,0.825160918,0.926837726,0.761443546,0.619454039,0.666713402,0.394502782,0.504636319,0.487029479,0.818095701,0.772629735,0.817139973,0.784686701,0.636567325,0.412233618,0.987125229,1.042096026,0.756900424,0.64777327,1.003102695,0.924809429,0.675578835,0.783608099,0.618182959,0.510409522,0.611396748,0.7503717,0.842462306,1.114653009,0.960613593,1.29331381,1.200521956,1.542514388,1.417865676,1.380577541,1.495704904,1.804475436,2.459367595,2.973762803,2.780372462,2.869957747,2.721573284,2.442117545,2.352245053,2.337398501,2.429561802,2.513475236,2.793435236,2.657079793,2.642541395,2.628775676,3.183169702,2.872852341,2.659907794,2.887122866,3.150832893,3.026700122,3.376433711,3.825097525,3.517077339,3.431217642,3.496674276,3.678861167,3.49611689,3.7778462,3.396997893,3.318843521,3.564317497,3.637968773,3.598241807,3.545513025,3.633501053,3.622927175,3.87284451,3.858978938,3.770685659,4.206340913,3.746036075,3.997483349,3.934252104,3.873010203,3.79822102,3.959665441,4.569775752,4.4711467,4.511776524,4.272179431,4.170649125,4.639988216,4.453696108
d__Bacteria;p__Chloroflexi,17.29256282,14.3592142,12.70603412,11.16545508,10.2356224,9.403403928,9.792235236,9.966709402,8.868859552,9.077328661,7.296365377,5.964878212,7.296846808,8.017576532,10.09709309,10.39531437,12.37240663,12.44629596,14.52014755,9.367836706,9.673869271,8.088747324,5.650629714,5.385998769,3.152788858,4.100170456,3.517208949,7.672843114,6.756722904,5.633615514,7.822784402,6.742897863,4.87708791,9.202108259,8.684133317,6.151578659,5.885019923,9.088170555,7.176621027,5.145230999,7.389133993,5.343560547,5.165200159,5.668219615,6.72914,5.843341211,8.924147196,7.681809952,9.736456878,8.841524973,10.25803782,10.08393273,7.843327139,10.72258723,10.51985281,11.4804363,13.08648321,12.76427416,12.10373479,12.16909302,12.61435615,12.62698231,12.82240035,12.87604151,12.9248397,13.33161694,13.46591586,13.82961807,14.00982821,15.21134999,15.74914167,15.18963795,15.39177985,15.16596668,15.49336306,15.33253649,15.93720799,16.66182733,16.74717055,16.82655272,16.97372645,16.97248905,16.7505047,16.62652627,16.6164278,16.69223395,16.92884967,16.69442253,16.72024752,16.89871248,16.56151074,16.6529827,17.17682892,17.01231632,17.31017405,17.35826049,17.75587892,17.46820412,17.75409346,17.75002553,18.44564652,18.34131911,19.2642041,19.79127553,19.05254193,19.03738068,18.20049117,19.03928828
d__Bacteria;p__Desulfobacterota,9.944884642,8.587141226,7.009392593,6.659743387,5.90638483,5.749405217,6.192981133,5.805123293,5.110409957,5.310546044,4.649037677,4.403188209,4.659503268,5.384485422,6.589307893,7.039770211,7.769985337,8.380835281,10.7816789,5.612224398,5.642124958,4.855792652,2.846466915,2.748558901,2.793855974,2.125780681,2.3230696,5.23453443,3.959096278,3.783424575,5.019185235,4.10232246,3.079627932,4.285837681,3.662054892,2.691462607,2.639675976,4.09675568,3.272977917,2.856244612,3.540747596,2.615140427,2.782091093,2.873263323,3.4268128,3.225184011,4.036289984,3.430320092,4.465593036,3.955342754,4.741803362,4.952038316,3.321618941,3.938015812,4.267294385,4.190410061,4.566620605,3.871381994,3.675974019,3.526904286,3.429107446,3.814230769,3.630501956,3.692043504,3.282677177,3.53794779,3.531160898,3.482049193,3.412253999,5.196484166,5.343642862,5.288522483,5.21234332,4.931323732,5.6035722,5.178038238,5.78163697,5.352579364,4.796325729,4.717648623,4.651298958,4.680795086,5.1466311,4.78884279,4.52136902,4.279139356,4.902115668,4.572879409,5.155996436,4.362053443,4.272640769,4.340471215,4.320853862,4.171528297,3.836629312,4.070717543,3.785349496,3.540514404,3.440065409,3.30954593,4.208681737,3.698749785,3.4831627,3.364372669,3.175423671,3.352978962,3.411216639,3.460098551
d__Bacteria;p__Patescibacteria,0.039260052,0.085753083,0.161073722,0.1808985,0.24385611,0.256206901,0.263035193,0.238193846,0.207300594,0.154376373,0.170985506,0.1101607,0.061812728,0.0709819,0.0888047,0.098604596,0.09323983,0.052307536,0.11005019,0.079124967,0.095580103,0.087229802,0.036260772,0.107850718,0.016168099,0.041001702,0.042793398,0.089479241,0.088372704,0.00997,0.020068692,0.032417801,0.042435802,0.121662496,0.161907604,0.122232314,0.129554694,0.159652999,0.089738942,0.065562545,0.0493383,0.00324,0.03234987,0.024094417,0.0484111,0.039712048,0.079618036,0.034086257,0.0561249,0.043497198,0.0476085,0.089928098,0.041164019,0.0505306,0.088688802,0.067751196,0.1156106,0.08778242,0.145015477,0.07957818,0.091676928,0.065340138,0.122652105,0.1367424,0.099191505,0.136191316,0.15834801,0.2448564,0.144324904,0.135729104,0.099656405,0.153335823,0.136595103,0.089024497,0.106030887,0.154333246,0.098455388,0.127788109,0.169101234,0.073585485,0.117161199,0.1158352,0.1266126,0.0896158,0.095186692,0.104448894,0.107184508,0.1337738,0.104099701,0.132744698,0.142318205,0.09949508,0.120251432,0.082932991,0.1185867,0.120113425,0.134994306,0.0562482,0.083904054,0.111180098,0.086079699,0.118210709,0.0830737,0.152794994,0.140683308,0.114155309,0.051351599,0.174929192
d__Bacteria;p__Planctomycetota,3.424688472,2.800283354,2.327515669,1.936283496,1.659488265,1.537241505,1.504960959,1.456385027,1.43608226,1.229985442,1.037705339,0.978486302,1.353993379,1.693425707,1.879699198,2.211133309,2.714314853,2.676404097,3.184981104,1.887696838,1.804437251,1.551963659,1.102930359,1.026215829,0.575586074,0.725414728,0.715260869,1.684126755,1.424062664,1.155954162,1.894486495,1.52658266,1.060895446,1.469974578,1.380630035,1.020001784,0.961943255,1.424827493,1.096809009,0.783999345,1.323426999,0.873871142,0.941741417,1.03997916,1.1480342,1.100037352,1.478126789,1.196118898,1.566617913,1.255618354,1.494905888,1.432853676,1.168424642,1.421593404,1.722608834,1.659903746,2.045666202,2.354000894,2.411304119,2.47965561,2.553300179,2.733395939,2.715867817,3.568021404,4.003219216,3.931389424,3.816187336,4.153019392,3.975808515,4.081566831,3.810996787,3.476655915,3.653917884,3.475136582,3.68216384,3.574862085,3.638660674,3.24117122,3.142208243,3.011555077,3.057906872,2.943267091,3.0831879,3.425002793,3.153853235,3.241178815,3.180858339,3.104097806,3.181164122,3.371098656,3.177409219,3.176379252,3.082810329,3.201212577,3.139060409,3.046000331,3.047013481,3.156151403,3.094380775,2.960492238,3.206468252,3.064145036,3.3051476,3.520050563,3.448177086,3.491027172,3.385540739,3.089248767
d__Bacteria;p__Dependentiae,0.483201173,0.343012533,0.335570337,0.2210981,0.215353408,0.167754501,0.199773595,0.183749538,0.168243995,0.16981399,0.197517808,0.1425609,0.167777403,0.169004601,0.2397727,0.206173192,0.354829374,0.351623089,0.42725356,0.206290254,0.185367505,0.132661951,0.099716947,0.140532775,0.103476195,0.078849403,0.065208997,0.166175647,0.186845108,0.172728794,0.234803978,0.176824207,0.127307405,0.165903431,0.176626404,0.129284226,0.136032394,0.135554399,0.189448788,0.156779869,0.1770374,0.15211829,0.172532738,0.144566703,0.1694388,0.204233335,0.173082714,0.210715235,0.278184502,0.153689994,0.203129498,0.221822496,0.161489575,0.279602501,0.214899704,0.304880231,0.2826038,0.483698811,0.370969841,0.26419952,0.216513566,0.245025491,0.360947616,0.3275456,0.331262218,0.332912083,0.348365602,0.403854099,0.230232607,0.397492213,0.477663223,0.413068061,0.717124116,0.543685582,0.48195864,0.38425834,0.456665496,0.43564133,0.365873606,0.572331682,0.556515595,0.723969998,0.9889471,1.389044497,1.450010978,1.517772513,1.387093804,2.042097804,1.904412013,2.923471062,3.053654253,3.129119062,3.375240008,3.143159553,3.20881731,2.826417985,2.416121948,2.359301302,2.241915812,1.952114959,1.99827837,1.791824938,1.827622,1.966154423,2.052828111,2.083997163,2.519898755,1.731798526
d__Archaea;p__Nanoarchaeota,0,0,0,0,0,0,0,0,0,0.012350154,0.017688201,0.0550804,0.097134286,0.162244401,0.1746492,0.170316993,0.217559571,0.217948185,0.245994477,0.333455441,0.309911409,0.199901676,0.238716488,0.133996344,0.074373497,0.148236906,0.118191295,0.153392913,0.118671905,0.112938096,0.218749004,0.170930107,0.169743307,0.1271926,0.091257002,0.098726173,0.068016197,0.075308,0.084753439,0.051309757,0.058045,0.080913995,0.028755473,0.066259772,0.0691587,0.062404619,0.076156426,0.086765091,0.100048801,0.095693796,0.155520999,0.134892098,0.098160346,0.0606367,0.187610904,0.149052591,0.1991072,0.17556474,0.168622673,0.16552263,0.237969873,0.239580471,0.203252009,0.3879667,0.36307832,0.351070919,0.37053439,0.317995399,0.391739111,0.384565712,0.419244021,0.375516356,0.561902413,0.473737784,0.420910547,0.485047403,0.488087469,0.421119929,0.442737712,0.427886111,0.483289896,0.481769099,0.4619649,0.632911399,0.59333055,0.646277363,0.548532541,0.655218501,0.649092205,0.818077989,0.779656373,0.810884635,0.81716342,0.843151821,0.746398802,0.799504665,0.719051129,0.759351301,0.788697946,0.757575784,0.743974389,0.622161448,0.623053,0.611179976,0.631639434,0.538919042,0.601547889,0.584263375
d__Bacteria;p__Verrucomicrobiota,0.398640945,0.275001446,0.365100523,0.435496299,0.297694512,0.289757801,0.199773595,0.319860207,0.417605488,0.351978034,0.365555314,0.550803501,0.624014301,0.672638203,0.503226599,0.561747377,0.541308935,0.618972898,0.611749443,0.562352758,0.573480916,0.470677472,0.447215649,0.313747507,0.135812394,0.362707414,0.356611585,0.476157256,0.540335824,0.568011981,0.784686701,0.804550331,0.506198722,0.439643997,0.279658507,0.180997917,0.184615391,0.292195099,0.241796512,0.171032657,0.1973531,0.139172091,0.201288211,0.219861894,0.2143919,0.360244832,0.363473779,0.421430471,0.326988803,0.284181489,0.218998998,0.263788996,0.151990171,0.218965801,0.269477405,0.416669749,0.3725232,0.619851052,0.623903901,0.751217904,0.669046604,0.740521593,0.823521235,1.666348702,3.486674888,2.042869738,1.453634876,1.475498497,1.329851239,1.489788048,1.103092854,1.189135276,1.052402824,1.195472459,1.478006415,1.382700015,1.298773503,0.900325361,0.910072058,0.888476916,0.887495992,0.942477297,0.7699415,1.366640497,1.367515785,1.664653705,1.516345714,1.714488503,1.714583112,2.136263972,2.348250839,2.504787689,2.358568534,2.396762838,2.162463806,1.848619983,2.085523764,1.968688502,1.90294349,1.977970758,1.98290697,2.20245147,2.2963952,2.462017404,2.569624039,2.782202617,2.824340649,2.714900383
