,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales,0.528796625,0.552971928,0.36241602,0.395294813,0.294527442,0.320253954,0.436172112,0.364052105,0.4836843,0.463134432,0.362607143,0.427683046,0.420935885,0.473195928,0.64556186,0.675294243,0.67856695,0.671278302,0.789774597,0.610221195,0.706713025,0.541567341,0.471368645,0.500036121,0.268391281,0.369015612,0.313933622,0.565622009,0.522661467,0.39843671,0.481608038,0.439113487,0.330393926,0.801879252,0.818369657,0.613511499,0.48909467,0.774169634,0.67520954,0.530199432,0.583201663,0.427230743,0.319913711,0.379493545,0.553269433,0.504898501,0.63694475,0.486728279,0.646880448,0.608962739,0.863300281,0.839328006,0.706094199,0.85228228,0.958609674,1.22628246,1.278139741,1.332847334,1.396231787,1.397380512,1.353700603,1.388458069,1.622512087,1.605927658,1.746151454,1.803764907,1.77666909,1.780773989,1.776571399,2.068260104,1.841844385,1.608461074,1.81267951,1.878851797,1.818584948,1.996842483,2.237255741,2.143355167,2.124454816,2.180304237,2.27585602,2.242990227,2.494609829,2.279601663,2.319392549,2.366442174,2.462097838,2.446149484,2.418795581,2.469683697,2.373007751,2.532150515,2.4678874,2.352653342,2.587981806,2.37608678,2.589676285,2.624918008,2.587588043,2.559725974,2.662319142,3.107695625,3.064827503,3.197174994,3.138099849,3.026444133,3.378202937,3.295663995
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales,3.571643218,3.019167423,2.483220949,2.505767374,2.22320706,2.003875028,1.921155174,2.11286309,1.751477778,1.719772549,1.370831985,1.091887883,1.35111586,1.443247541,1.889304794,1.834648921,2.113399276,2.092295898,2.404928416,1.486001588,1.52348783,1.37754386,0.833959873,0.810516045,0.662894052,0.640257941,0.491285728,1.297415508,0.861002676,0.737107848,1.332448881,1.052104168,0.630476576,1.191758442,1.024433998,0.726341117,0.70934922,1.045279702,0.867058637,0.632818731,0.928480243,0.676448768,0.654205622,0.719833062,0.778035105,0.717636661,1.048881775,0.802946704,1.008157098,0.838048719,0.980734492,0.920263259,0.683929734,0.912918978,0.791449994,0.779129725,0.963421904,0.877816156,0.792546971,0.792591736,0.715861847,0.805850134,0.802495192,0.740952727,0.718673321,0.708189603,0.630226667,0.798168295,0.735369941,0.956570309,1.082427176,1.176617415,0.97152178,0.95373186,1.198466743,1.029917216,1.11024863,1.016496379,0.894669117,0.956608482,0.978295909,0.902987809,0.964993079,0.924162888,0.942352399,0.953104952,1.043475529,0.843593998,0.949147606,0.882911911,0.931258637,0.907892836,0.9100847,0.857018264,0.868473704,0.799536292,0.746598144,0.787475402,0.771913416,0.871341051,0.873093061,0.824363674,1.0117194,0.934070946,0.80103374,0.788468386,0.729926576,0.839659567
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales,2.671178216,2.619963113,2.499328345,2.542616907,2.47656401,2.476630969,2.969966123,2.769517761,2.622710377,2.686179708,2.641431185,2.53369825,2.06052522,2.264580356,2.706621672,2.886434559,2.745347071,2.966991843,4.214289123,2.200751482,2.314195464,1.908207199,1.084752193,1.006608586,1.138237618,0.845266614,1.019264946,1.767169365,1.315490921,1.245114705,1.539139002,1.181775265,1.057866945,1.075624194,0.927289431,0.801560929,0.741739633,0.963946652,0.914398061,0.741139009,0.786306663,0.676448768,0.693745524,0.801153107,0.905978689,0.981431988,0.958878786,0.765744531,1.181472192,1.090333288,1.269559219,1.46282884,1.149381999,0.916287678,1.439620319,1.155144541,1.364847623,1.085625667,0.978036738,1.005859356,0.97528858,1.173383181,0.970703812,1.217960944,0.935772473,1.004781804,1.032431612,1.023945094,0.876258549,1.295894189,1.188951748,1.301789574,1.309847234,1.338403703,1.282005975,1.281884717,1.390953009,1.338870904,1.146775179,1.201892731,1.045663609,1.132025561,1.35167479,1.201411644,1.132726566,1.083667292,1.16642275,1.184853637,1.037938925,0.981699283,0.983854582,0.955153058,1.0139382,0.848724547,0.816155986,0.765753149,0.832002406,0.653104602,0.694722044,0.659323336,0.851573182,0.703042292,0.661622966,0.640011561,0.600057505,0.568121994,0.61988744,0.629744751
d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Pla4_lineage,0.093672569,0.053227248,0.021476495,0,0.015834797,0,0,0.01020702,0.021029757,0.006179999,0.017688197,0.038880231,0.041210496,0.06421941,0.062187167,0.095616903,0.095828158,0.101708821,0.093866632,0.090403099,0.066616427,0.018173405,0.039280762,0.032682124,0.016168099,0,0.018346745,0.025564814,0.015149605,0,0.034113947,0.055994298,0.018186845,0.005529993,0,0.004700001,0,0,0,0.005699978,0.011605994,0.016182983,0,0.009039961,0,0.005670063,0.013846645,0.027901605,0.014646361,0.020298778,0.022217302,0.026978384,0.066493195,0.043793199,0.16715968,0.135500865,0.179838763,0.589390845,0.586822083,0.81487339,0.97138747,0.78951531,1.009251616,1.742670063,1.952021462,1.852188107,1.482141045,1.974751188,1.859042704,1.551195053,1.092736028,1.020152366,1.157755993,1.033209516,1.201679733,1.051964329,1.196135832,0.909038171,0.827030901,0.79853643,0.852347608,0.737132944,0.848646406,1.218214647,0.910623371,0.985745562,0.728226104,0.832673697,0.841985822,0.91378299,0.733250115,0.703927938,0.5930582,0.749199842,0.784765375,0.83519641,0.738333238,0.806224802,0.711502795,0.752404298,0.596408627,0.71859629,0.901943389,0.801455957,0.930232763,0.913242795,0.77394225,0.80817238
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,0.21151863,0.127153943,0.096644279,0.103848631,0.110843678,0.088451117,0.136511941,0.163313116,0.096136001,0.20686667,0.12971318,0.191161355,0.17956002,0.226458026,0.222096938,0.253982306,0.396262371,0.334186099,0.281599997,0.251433698,0.269361905,0.327121185,0.380720864,0.441208318,0.400970071,0.476251002,0.434206842,0.357907695,0.290367493,0.312108751,0.278931292,0.238712693,0.384954462,0.378818805,0.415072383,0.394903964,0.524724154,0.436788381,0.371240687,0.342064166,0.293051606,0.365735446,0.345075512,0.277090492,0.300840263,0.314852493,0.308087391,0.269715683,0.322219652,0.200087769,0.31738983,0.227817566,0.139319051,0.181910096,0.194451108,0.32181443,0.301872239,0.292008189,0.252940501,0.190985966,0.20090949,0.261356789,0.25932163,0.203523507,0.162824439,0.266327701,0.19951897,0.248036399,0.247414214,0.151887873,0.223357997,0.231568324,0.158299081,0.235253907,0.202421949,0.245668326,0.213670456,0.235246318,0.242882659,0.204403491,0.196245002,0.160589666,0.201895754,0.179231536,0.190374167,0.182787236,0.135557254,0.136503916,0.134717684,0.067916293,0.102098075,0.047260223,0.0655917,0.157580724,0.149977352,0.105103379,0.121218888,0.0656229,0.100684402,0.051711679,0.169084938,0.115099882,0.112742911,0.144146732,0.149296626,0.140703122,0.062355564,0.097960261
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales,0.48347114,0.343019999,0.335570426,0.221097101,0.215353357,0.167752066,0.199773514,0.183727256,0.168238052,0.169815975,0.197517769,0.142561015,0.167785592,0.168998574,0.239864757,0.206173854,0.35482321,0.35162192,0.427255113,0.206232198,0.185367297,0.132665785,0.09971255,0.140533061,0.103476193,0.078849467,0.065232984,0.166171391,0.18684516,0.172655917,0.234783955,0.176824195,0.127307718,0.165906083,0.17662652,0.129284021,0.136039596,0.135554984,0.189357595,0.156779388,0.176991563,0.152120024,0.172537706,0.14456897,0.169438779,0.204228666,0.173082757,0.21081225,0.278280668,0.15369059,0.203129519,0.22182237,0.161483416,0.279602493,0.214919603,0.304876797,0.282603743,0.4836946,0.370979435,0.264197245,0.216514028,0.245021965,0.360947642,0.327545612,0.3312635,0.332909601,0.348366445,0.403854098,0.230232613,0.3974937,0.47764245,0.413067865,0.717001721,0.543627152,0.481957149,0.384250476,0.456668278,0.435641334,0.365861289,0.572329815,0.556515605,0.723969847,0.988946874,1.389044782,1.450016945,1.517787014,1.387097327,2.042098037,1.904418835,2.923488024,3.053661921,3.129121202,3.3752391,3.143321769,3.208818423,2.826529791,2.416112859,2.359301307,2.241905066,1.952114217,1.99827648,1.791824526,1.827622181,1.966161753,2.052828359,2.083998813,2.519897336,1.731797914
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031,3.012629703,2.38339751,2.158388821,1.77882686,1.76716455,1.714121432,1.614835806,1.847479276,1.838601098,2.043966602,1.356091887,1.150208331,1.274582081,1.392547949,1.661285283,1.688235557,2.105629434,1.9266558,2.252799677,1.375822789,1.456871503,1.126750894,0.731225733,0.715737996,0.261923981,0.48571291,0.454592137,1.108874805,1.042797934,0.883201378,1.16589282,1.040315869,0.736566341,1.512510123,1.327642904,1.036622767,0.900452528,1.421821324,1.215875412,0.758242242,1.23894084,0.880354379,0.851905129,0.90355606,1.040838073,0.805568437,1.467742223,1.100563993,1.420695963,1.267222467,1.558384046,1.483812028,0.994231244,1.478861365,1.303163382,1.419371098,1.62497157,1.664267678,1.413094421,1.359183319,1.412217946,1.3203964,1.345668755,1.345163148,1.235219748,1.364929505,1.206614835,1.376919892,1.319542374,1.748326096,1.481035359,1.739891831,1.592302424,1.554582961,1.60973682,1.565348093,1.453797237,1.550883021,1.546455476,1.40084544,1.528953514,1.555876972,1.392738281,1.554273916,1.265988503,1.331735747,1.289370072,1.345928256,1.322683147,1.197796534,1.055013913,1.340696644,0.9948073,1.080948825,1.130062096,1.173028643,1.264533421,1.034342703,1.114240203,1.116971352,0.974544063,0.948795955,0.878208087,0.902358629,1.053689484,0.987576559,0.825293921,1.175523434
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales,0,0,0,0,0,0,0,0,0,0.012350298,0.017688197,0.055080445,0.097139027,0.162238615,0.174716254,0.17031754,0.217555792,0.21794746,0.245995371,0.333361597,0.30991106,0.199907452,0.238705962,0.133996617,0.074373495,0.148237025,0.118234771,0.153388984,0.118671938,0.112890446,0.21873035,0.170930095,0.169743724,0.127194634,0.091257062,0.098726016,0.068019798,0.075308324,0.084712643,0.0513096,0.058029971,0.080914917,0.028756301,0.066260811,0.069158692,0.062403192,0.076156445,0.086805038,0.100083387,0.095694168,0.155521015,0.134892021,0.098196301,0.060636699,0.187628276,0.149050912,0.19910716,0.175998908,0.168627034,0.165521204,0.237970381,0.239577024,0.203252023,0.387966714,0.363079725,0.351068301,0.370535286,0.317995398,0.391739122,0.384567151,0.419225788,0.375516177,0.56180651,0.473686872,0.420909246,0.485037477,0.487999442,0.421119933,0.442722808,0.427884716,0.483289904,0.481768998,0.461964794,0.632911528,0.593332992,0.646283538,0.548533934,0.655218576,0.64909453,0.818082736,0.779658331,0.810885189,0.8171632,0.843195335,0.746399061,0.799536292,0.719048423,0.759351302,0.788694166,0.757575496,0.743973685,0.622161305,0.623053062,0.611182255,0.631639511,0.538919469,0.601547551,0.584263169
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales,5.635460735,4.775666311,4.292616447,3.674902189,3.464656014,3.330641579,3.296262783,3.024694455,2.436446862,2.102630293,1.774711521,1.283049238,1.942780944,2.156421313,2.66516356,2.775877608,3.398014546,3.536561223,4.110712056,2.46066048,2.708101032,2.273492544,1.550077659,1.604690978,0.953920731,1.166972586,1.04372734,2.230532018,2.09317077,1.932417976,2.381953093,2.045266939,1.397354293,2.897825613,2.7906996,1.943961613,2.08270126,3.144876045,2.48158175,1.738826217,2.503995118,1.903118972,1.682243057,2.051072357,2.551955189,2.229495734,3.112028815,2.951371502,3.639617976,3.398592154,3.792808257,3.875897021,2.868705427,3.392285619,3.421656769,3.899036111,4.264747534,3.724448401,3.456853952,3.154451303,3.001938425,2.869479942,2.95766784,2.941550706,2.794216667,2.781308611,2.622249556,2.966896682,2.879626261,3.367386005,3.532492538,3.345223606,3.302553217,3.233151091,2.875677546,3.165341749,3.318177104,3.20631995,3.139027963,3.041524349,3.016900527,2.840594401,3.141360581,2.915313692,2.754080302,3.019253774,3.111511537,2.751918219,3.006654791,2.904965417,2.679302078,2.81322425,2.8915004,2.786691535,2.758886266,2.819022393,2.834868964,2.718665008,2.684916255,2.795013879,3.449332685,3.176133414,3.325916329,3.589254141,3.379271291,3.366255429,3.077429212,3.204700831
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41,0.102737666,0.065055503,0.120805373,0.100498646,0.098175781,0.149451832,0.083238964,0.183727256,0.216306053,0.169815975,0.147401277,0.1231209,0.156011165,0.162238615,0.139180716,0.227090121,0.176116631,0.206323646,0.197443699,0.118654099,0.153507332,0.110857779,0.042302352,0.071900592,0.084074394,0.14192912,0.12027322,0.172562694,0.131296642,0.142773132,0.212710236,0.103147497,0.096996442,0.124429537,0.076538152,0.065817311,0.110127325,0.117481006,0.124577363,0.1026193,0.092848054,0.087388091,0.104241604,0.14456897,0.16598078,0.209901629,0.15231289,0.195311336,0.156227689,0.139191535,0.095216909,0.071942358,0.028497026,0.087586298,0.078462766,0.165988545,0.144513271,0.249013156,0.239450355,0.276929676,0.265278547,0.30219385,0.297869434,0.55968962,0.512803313,0.568972802,0.497214021,0.610551096,0.54293673,0.568771546,0.422662038,0.453748752,0.322805903,0.314731562,0.353435263,0.289762651,0.242997822,0.267193321,0.224435855,0.196227419,0.213819202,0.179017962,0.112924774,0.249243951,0.196719993,0.270916873,0.277419425,0.264817531,0.269435467,0.404410741,0.457894632,0.606920191,0.4919377,0.599912735,0.59990951,0.660649769,0.644664069,0.712477702,0.771913416,0.853241958,0.879241655,0.895912263,0.990950998,1.063803024,1.154177602,1.319423448,1.272786561,1.151033344
