,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae,0.528796725,0.552960158,0.362416147,0.395296598,0.294527524,0.320258603,0.436172261,0.364094142,0.483701419,0.46313439,0.362607258,0.427682702,0.420934942,0.473212813,0.645314128,0.675291981,0.678580707,0.671277376,0.789771733,0.610220995,0.706713873,0.541552243,0.47137042,0.500032622,0.268391273,0.369015387,0.313818172,0.565621608,0.522661576,0.398604815,0.481598771,0.439113551,0.330393191,0.80188008,0.81836928,0.613511561,0.489068692,0.774166202,0.675507295,0.530201578,0.58335276,0.427225855,0.319913711,0.379495119,0.553269434,0.504892934,0.636942773,0.486504804,0.64665693,0.608960374,0.863300335,0.839328476,0.706120806,0.852282279,0.958520939,1.226287089,1.278140179,1.332855503,1.396196377,1.397377002,1.353697786,1.388473194,1.622512088,1.605927624,1.746144989,1.803764886,1.776665843,1.780773988,1.776571399,2.06825332,1.841924575,1.608461347,1.812989241,1.879053524,1.818590431,1.996850136,2.237258855,2.143355281,2.124455024,2.180311527,2.275855734,2.242990673,2.494610849,2.279601332,2.319382783,2.366419714,2.462091649,2.446149232,2.418786774,2.469669684,2.372996698,2.532149622,2.467887346,2.352649707,2.58798074,2.375992604,2.589675796,2.62491826,2.587595679,2.559726127,2.662321929,3.107696544,3.06482754,3.197162637,3.138099921,3.026442586,3.378204302,3.29566475
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured,3.571643893,3.019103163,2.483221825,2.50577869,2.223207682,2.00390412,1.921155829,2.113107066,1.75153977,1.719772392,1.370832421,1.091887004,1.351112835,1.443299039,1.888579783,1.834642777,2.113442123,2.092293015,2.404919696,1.486001101,1.523489658,1.377505454,0.833963012,0.810510374,0.662894034,0.64025755,0.491105057,1.29741459,0.861002855,0.737418842,1.332423243,1.052104322,0.630475173,1.191759673,1.024433525,0.726341191,0.709311543,1.045275067,0.867440993,0.632821294,0.928720795,0.676441028,0.654205622,0.719836047,0.778035107,0.717628749,1.048878521,0.802578042,1.007808746,0.838045464,0.980734553,0.920263774,0.683955505,0.912918977,0.791376732,0.779132666,0.963422235,0.877821536,0.792526871,0.792589745,0.715860357,0.805858913,0.802495193,0.740952711,0.71867066,0.708189594,0.630225515,0.798168294,0.735369941,0.956567172,1.082474303,1.176617615,0.971687783,0.95383426,1.198470357,1.029921164,1.110250175,1.016496433,0.894669205,0.95661168,0.978295786,0.902987989,0.964993474,0.924162754,0.94234843,0.953095906,1.043472905,0.843593911,0.949144151,0.882906902,0.931254299,0.907892515,0.91008468,0.85701694,0.868473346,0.799504602,0.746598002,0.787475478,0.771915694,0.871341103,0.873093975,0.824363918,1.011719412,0.934067336,0.801033759,0.788467983,0.729926871,0.83965976
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae,2.671178721,2.619907349,2.499329227,2.54262839,2.476564703,2.476666925,2.969967136,2.769837562,2.622803205,2.686179463,2.641432025,2.53369621,2.060520606,2.264661161,2.705583019,2.886424892,2.74540273,2.966987754,4.214273842,2.200750761,2.314198241,1.908153998,1.084756276,1.006601544,1.138237587,0.845266099,1.01889011,1.767168114,1.315491196,1.245640033,1.539109388,1.181775437,1.057864591,1.075625305,0.927289004,0.801561011,0.741700236,0.963942378,0.914801293,0.74114201,0.78651038,0.676441028,0.693745524,0.801156429,0.905978692,0.981421167,0.95887581,0.765392949,1.181063954,1.090329053,1.269559298,1.462829659,1.149425309,0.916287677,1.439487059,1.155148901,1.364848091,1.085632321,0.978011934,1.00585683,0.97528655,1.173395964,0.970703813,1.217960918,0.935769009,1.004781792,1.032429725,1.023945093,0.876258549,1.295889939,1.189003513,1.301789796,1.310071046,1.338547403,1.28200984,1.281889631,1.390954945,1.338870975,1.146775291,1.20189675,1.045663478,1.132025786,1.351675343,1.20141147,1.132721796,1.083657007,1.166419818,1.184853515,1.037935146,0.981693713,0.983849999,0.955152721,1.013938178,0.848723235,0.816155649,0.765722798,0.832002248,0.653104665,0.694724094,0.659323375,0.851574073,0.703042501,0.661622973,0.640009087,0.600057519,0.568121704,0.61988769,0.629744895
d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Pla4_lineage;f__Pla4_lineage,0.093672587,0.053226115,0.021476503,0,0.015834801,0,0,0.010208198,0.021030501,0.006179999,0.017688203,0.0388802,0.041210404,0.064221702,0.062163303,0.095616583,0.095830101,0.101708681,0.093866292,0.09040307,0.066616507,0.018172898,0.03928091,0.032681895,0.016168098,0,0.018339998,0.025564796,0.015149608,0,0.034113291,0.055994306,0.018186805,0.005529998,0,0.004700001,0,0,0,0.005700001,0.011609001,0.016182798,0,0.009039998,0,0.00567,0.013846602,0.027888795,0.014641301,0.020298699,0.022217303,0.026978399,0.066495701,0.043793199,0.167144207,0.135501377,0.179838825,0.589394457,0.586807201,0.814871343,0.971385449,0.789523911,1.009251617,1.742670026,1.952014235,1.852188085,1.482138336,1.974751186,1.859042704,1.551189965,1.092783604,1.02015254,1.157953818,1.033320448,1.201683356,1.051968361,1.196137497,0.909038219,0.827030982,0.7985391,0.8523475,0.737133091,0.848646753,1.218214471,0.910619536,0.985736206,0.728224274,0.832673611,0.841982756,0.913777805,0.733246699,0.703927689,0.593058187,0.749198684,0.784765051,0.835163307,0.738333098,0.80622488,0.711504894,0.752404343,0.596409251,0.718596503,0.9019434,0.801452859,0.930232784,0.913242328,0.773942563,0.808172565
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae,0.21151867,0.127151236,0.096644313,0.1038491,0.110843709,0.088452401,0.136511988,0.163331974,0.096139404,0.206866651,0.129713221,0.191161201,0.179559618,0.226466106,0.22201171,0.253981455,0.396270404,0.334185639,0.281598976,0.251433616,0.269362228,0.327112065,0.380722297,0.441205232,0.40097006,0.476250712,0.434047162,0.357907442,0.290367554,0.312240433,0.278925925,0.238712728,0.384953606,0.378819196,0.415072191,0.394904004,0.524696284,0.436786445,0.371404397,0.342065551,0.29312753,0.365731261,0.345075512,0.277091641,0.300840264,0.314849021,0.308086435,0.269591847,0.322108315,0.200086991,0.31738985,0.227817694,0.139324301,0.181910095,0.194433108,0.321815645,0.301872342,0.292009979,0.252934087,0.190985487,0.200909072,0.261359637,0.25932163,0.203523503,0.162823836,0.266327698,0.199518605,0.248036398,0.247414214,0.151887375,0.223367721,0.231568364,0.15832613,0.235279165,0.202422559,0.245669268,0.213670753,0.235246331,0.242882683,0.204404174,0.196244977,0.160589698,0.201895836,0.17923151,0.190373366,0.182785501,0.135556914,0.136503902,0.134717193,0.067915908,0.1020976,0.047260206,0.065591699,0.157580481,0.149977291,0.105099213,0.121218865,0.065622906,0.100684699,0.051711682,0.169085115,0.115099916,0.112742913,0.144146175,0.14929663,0.140703051,0.062355589,0.097960284
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae,0.483471231,0.325270693,0.335570544,0.221098099,0.212186517,0.167754502,0.199773582,0.183748471,0.168244007,0.154378163,0.091388815,0.1166407,0.167785217,0.169004605,0.239772711,0.182269068,0.331520304,0.351621435,0.404596166,0.189281536,0.185367519,0.132662086,0.099712925,0.140532078,0.10347619,0.078849419,0.065208994,0.159780074,0.176745493,0.156120167,0.232772738,0.176824221,0.121245233,0.149315559,0.176626439,0.11518033,0.116599174,0.135554383,0.159529399,0.13682622,0.156721616,0.152118284,0.172537706,0.108427177,0.152149082,0.15033331,0.17308222,0.176629165,0.261103012,0.153689993,0.187260029,0.221822494,0.132991401,0.252652894,0.133033205,0.179539269,0.112399216,0.13256899,0.131525745,0.098675793,0.115083841,0.114344816,0.119147714,0.098581701,0.112292325,0.118031599,0.101342802,0.124018199,0.079035104,0.164813981,0.192439918,0.200275369,0.173848333,0.181228473,0.257044548,0.144881881,0.178058944,0.209107827,0.129127544,0.149896381,0.137664384,0.147426598,0.174520131,0.156827609,0.104705381,0.143617201,0.148166815,0.122853502,0.137778993,0.138918916,0.1144731,0.141780518,0.136649397,0.138228571,0.104635294,0.123866916,0.101934055,0.115621411,0.077191599,0.121522359,0.101451109,0.077770211,0.071206108,0.089370684,0.097617019,0.066369324,0.077027486,0.080467387
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031,2.970326478,2.365604777,2.131543879,1.735285293,1.744996343,1.686695517,1.598188558,1.847692608,1.811626972,2.006915624,1.356092318,1.150207405,1.256917626,1.375697137,1.610325071,1.655361709,2.061642123,1.865627957,2.207476712,1.358871743,1.427909549,1.097642884,0.731228486,0.705928391,0.261923974,0.485712614,0.45442496,1.10887402,1.022598741,0.860322016,1.159850389,1.025580719,0.724440199,1.493155991,1.304092087,1.02486977,0.900404701,1.400728822,1.19647039,0.758245312,1.239261826,0.880344307,0.851905129,0.903559808,1.020090479,0.805559555,1.467737669,1.100058683,1.420205065,1.238219447,1.532992939,1.453836859,0.943605308,1.462017863,1.272342752,1.385501162,1.624972127,1.623074082,1.396196377,1.340081406,1.402462103,1.320410785,1.324642754,1.31972272,1.216499771,1.364929489,1.174943028,1.37691989,1.298924473,1.748320362,1.481099841,1.714857631,1.570843495,1.532493775,1.57439808,1.552755695,1.453799261,1.5247446,1.52493442,1.370870829,1.508450124,1.529551082,1.361941145,1.529069189,1.243772976,1.331723108,1.267299428,1.307707017,1.301246032,1.173093135,1.039539599,1.303385466,0.983875378,1.080947155,1.109134631,1.161721549,1.236983467,1.034342802,1.114243491,1.116971419,0.974545084,0.930131433,0.878208097,0.890823543,1.042205206,0.966337847,0.825294254,1.158030807
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae,5.6354618,4.775564666,4.292617962,3.674918785,3.464656984,3.330689933,3.296263907,3.025043722,2.436533097,2.102630102,1.774712086,1.283048205,1.942776594,2.156498258,2.664140817,2.775868311,3.398083437,3.536556349,4.110697151,2.460659673,2.708104282,2.273429159,1.550083494,1.604679751,0.953920706,1.166971874,1.043343508,2.230530439,2.093171207,1.933233286,2.381907262,2.045267237,1.397351184,2.897828606,2.790698314,1.943961811,2.08259064,3.144862101,2.48267608,1.738833257,2.504643855,1.903097198,1.682243057,2.051080863,2.551955196,2.229471152,3.112019158,2.950016419,3.638360367,3.398578954,3.792808492,3.875899191,2.868813523,3.392285615,3.42134004,3.899050829,4.264748997,3.724471228,3.456766282,3.154443379,3.001932178,2.869511202,2.957667843,2.941550644,2.794206323,2.781308578,2.622244763,2.966896679,2.879626261,3.36737496,3.532646336,3.345224175,3.303117521,3.233498225,2.875686216,3.165353882,3.318181723,3.20632012,3.13902827,3.04153452,3.016900147,2.840594966,3.141361865,2.915313269,2.754068704,3.019225118,3.111503714,2.751917936,3.006643844,2.904948934,2.679289597,2.813223257,2.891500336,2.78668723,2.758885129,2.818910661,2.834868428,2.718665269,2.684924179,2.795014047,3.449336297,3.176134354,3.325916369,3.589240268,3.379271369,3.366253708,3.077430455,3.204701565
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41,0.102737685,0.065054119,0.120805416,0.1004991,0.098175808,0.149454001,0.083238993,0.183748471,0.216313709,0.16981596,0.147401324,0.1231208,0.156010816,0.162244404,0.139127306,0.22708936,0.176120202,0.206323362,0.197442983,0.11865406,0.153507516,0.110854688,0.042302511,0.071900089,0.084074392,0.141929033,0.120228989,0.172562572,0.131296669,0.142833369,0.212706143,0.103147512,0.096996227,0.124429666,0.076538117,0.065817317,0.110121476,0.117480485,0.124632299,0.102619715,0.092872109,0.087387091,0.104241604,0.144569569,0.16598078,0.209899314,0.152312418,0.195221662,0.156173707,0.139190994,0.095216915,0.071942398,0.0284981,0.087586298,0.078455503,0.165989171,0.14451332,0.249014682,0.239444282,0.276928981,0.265277995,0.302197142,0.297869435,0.559689608,0.512801414,0.568972795,0.497213112,0.610551096,0.54293673,0.56876968,0.42268044,0.453748829,0.322861061,0.314765354,0.353436328,0.289763762,0.24299816,0.267193335,0.224435877,0.196228075,0.213819175,0.179017998,0.11292482,0.249243914,0.196719165,0.270914302,0.277418728,0.264817503,0.269434486,0.404408447,0.4578925,0.606919977,0.491937689,0.599911808,0.599909263,0.660623585,0.644663947,0.712477771,0.771915694,0.853242009,0.879242576,0.895912528,0.99095101,1.063798913,1.154177629,1.319422774,1.272787075,1.151033608
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b,0.042303694,0.017742005,0.026845604,0.0435496,0.022168702,0.0274507,0.016647799,0,0.027039201,0.037050791,0,0,0.017661602,0.0169005,0.050322702,0.032868194,0.04403,0.061025189,0.045314796,0.016950594,0.028963703,0.029076597,0,0.009799998,0,0,0,0,0.020199511,0.023251995,0.006019998,0.014735402,0.012124503,0.019355695,0.023550205,0.011753103,0,0.021086197,0.0199412,0,0,0,0,0,0.020747598,0,0,0,0,0.028998099,0.025391204,0.029975999,0.0506634,0.0168435,0.030700001,0.033875294,0,0.041203897,0.016862306,0.019098499,0.009750004,0,0.021026102,0.0254404,0.018715404,0,0.031669601,0,0.020617801,0,0,0.025034396,0.021731004,0.022256097,0.035343593,0.012598398,0,0.026138503,0.021521207,0.029979296,0.020503198,0.0263262,0.030797706,0.025204401,0.022210196,0,0.022067402,0.0382211,0.021432299,0.024696703,0.0154693,0.037310605,0.0109319,0,0.020927099,0.011260601,0.027549715,0,0,0,0,0.018664803,0,0.011531698,0.011484402,0.021238208,0,0.017492897
