Date,Day,COD,delta_G,Acetate,Propionate,Butyrate,H2,CH4,pH,PC1,PC2,alpha_diversity,biomass,instability,positive_proportion,negative_proportion,interaction_complexity,ave_P_IS,ave_N_IS,ave_degree
2021/10/14,3,96.15,-883.994725,13.22477205,20.19944125,3.49657252,1.01325,60357.39975,6.61,-0.261306587,-0.059914914,3.319580688,11600,52.73643129,3.360116874,5.080756432,0.586652339,0.065420968,0.072279649,18.73873874
2021/10/15,4,95.7,-882.5170297,11.12934445,21.70244387,3.731486062,1.01325,60190.43626,6.59,-0.315795165,-0.101182051,3.043031259,6700,55.46269485,2.654005357,3.70911452,0.47858378,0.081137546,0.076386964,14.12612613
2021/10/16,5,96.24,-881.6675167,13.65125358,29.85459048,3.311996984,1.01325,59871.8065,6.58,-0.338774509,-0.15130288,2.862013507,6498.903971,61.61197484,2.402402402,4.512620729,0.504667861,0.068589107,0.076080677,15.35135135
2021/10/17,6,97.56,-881.3268355,14.51793325,28.88306577,5.147501944,1.01325,60100.63536,6.58,-0.342946651,-0.184591514,2.672060513,4799.597214,60.57030655,3.506208912,6.030354679,0.637453775,0.072122966,0.060817779,21.17117117
2021/10/18,7,95.75,-883.3382192,14.83414999,19.75716733,3.358055448,1.01325,60287.14099,6.58,-0.344150307,-0.205725961,2.47555338,5099.571104,60.53808042,3.059816573,5.665124584,0.595548541,0.086852951,0.086710863,19.36936937
2021/10/19,8,96.15,-882.7183274,14.91161305,21.9159566,2.793130278,1.01325,60869.16658,6.53,-0.343080173,-0.210227581,2.422529886,4799.184367,59.4920121,3.481860239,6.947488029,0.669769075,0.079314405,0.071641684,23.15315315
2021/10/20,9,95.02,-883.8795868,13.52907854,17.52544651,2.351756596,1.01325,60743.818,6.6,-0.35826619,-0.182369995,2.523891538,3601.229928,63.06091159,3.392581771,6.850093337,0.662833581,0.078235034,0.069165906,22.73873874
2021/10/21,10,95.84,-881.5578687,16.19483075,27.12069408,2.679683976,1.01325,60058.65161,6.71,-0.372772864,-0.123252465,2.503804639,3999.663781,62.20365666,3.22214106,6.419933447,0.637711658,0.081762202,0.080420119,21.40540541
2021/10/22,11,96.06,-880.3687193,20.21473039,29.40571202,3.441878094,1.01325,60451.69474,6.7,-0.382618972,-0.118909014,2.437276422,4001.350211,63.54826648,3.384465547,6.468630793,0.647072033,0.081732372,0.069676268,21.87387387
2021/10/23,12,95.16,-880.5062963,19.60290138,33.25076715,0,1.01325,59367.28133,6.71,-0.376991727,-0.14344859,2.439695639,3700.311526,64.52245549,3.725346969,7.434461489,0.705657525,0.075634023,0.069463945,24.77477477
2021/10/24,13,96.92,-882.3207246,15.62747738,21.02946323,2.722821076,1.01325,59269.54317,6.7,-0.41030024,-0.083467358,2.218899914,3500,63.4854816,2.475448421,5.308010713,0.54466896,0.081482398,0.076143371,17.27927928
2021/10/25,14,90.45,-873.9023389,49.64317956,48.66701399,11.92369116,1.01325,59312.83579,6.68,-0.427541543,-0.067361137,2.088661638,3100.524757,69.04592597,3.343884425,7.41822904,0.683215906,0.065429266,0.061463428,23.89189189
2021/10/26,15,87.96,-869.1368827,65.03736046,52.75800725,19.52336335,1.01325,57223.01097,6.53,-0.394569956,-0.025855351,2.244144062,2399.589006,65.87770702,2.897492087,7.548088629,0.660169445,0.062643442,0.067772919,23.18918919
2021/10/27,16,85.16,-875.5989877,31.94640359,26.83364396,17.86828251,216.0608185,57538.29272,6.53,-0.377025359,-0.014643247,2.371923553,2600,72.57113286,2.483564646,7.734761789,0.646450198,0.056423754,0.056894042,22.68468468
2021/10/28,17,83.76,-848.8235937,118.6321732,75.26956306,79.53380909,477.3735496,57259.60171,6.54,-0.345583458,0.00768103,2.610555137,3300.828868,67.53011299,3.847090334,7.190974759,0.702105401,0.078425669,0.07402659,24.5045045
2021/10/29,18,83.71,-855.0730002,93.33365206,55.57226745,64.31298158,856.9206327,56906.55185,6.52,-0.321335351,0.097562682,2.675307975,4399.627938,69.59802577,3.912020128,7.588669751,0.716571225,0.075437922,0.060697367,25.53153153
2021/10/30,19,78.78,-843.9390878,115.1608119,60.61015065,85.90619234,1363.366358,55261.63726,6.52,-0.297507159,0.091352419,2.916765305,3900,74.82066562,3.027351676,5.640775911,0.591162566,0.100486345,0.089634053,19.24324324
2021/10/31,20,92.81,-877.4428533,31.94640359,26.83364396,17.86828251,1.01325,60747.53587,6.61,-0.281109493,0.100799146,2.973639831,4501.522714,59.04362231,5.096988881,8.343478614,0.801974687,0.067123924,0.062027815,29.83783784
2021/11/1,21,94.84,-879.5098981,23.05128623,30.48863505,4.387955846,1.01325,59756.65256,6.59,-0.25571336,0.044003533,3.238962878,5898.49413,58.62583816,3.644184725,6.777047318,0.677100518,0.071719748,0.064796791,23.13513514
2021/11/2,22,94.21,-877.5265215,31.59934344,38.49624117,4.686755006,1.01325,59031.36631,6.58,-0.310616181,0.181283671,2.525491604,3698.422309,70.73918493,3.668533398,7.483158835,0.703686122,0.065258022,0.05948381,24.75675676
2021/11/3,23,89.46,-867.8577902,76.56963192,51.75939879,12.87855863,1.01325,57583.40022,6.55,-0.308523808,0.163373545,2.516554065,2499.371859,69.98783147,3.368233098,8.035062089,0.708707959,0.060627865,0.058616334,25.31531532
2021/11/4,24,83.44,-851.5659041,127.8678089,63.53619314,46.32317082,246.8003737,55872.84423,6.53,-0.307584938,0.198013634,2.338010942,1300,69.97493681,3.749695642,8.676243811,0.746860239,0.059380794,0.05481833,27.58558559
2021/11/5,25,82.62,-844.8072693,137.21284,71.41807404,70.6658122,361.6799659,56362.09994,6.54,-0.324203407,0.254997649,1.986572271,1100,72.21678928,3.019235452,7.840272705,0.678922856,0.06507654,0.062402322,24.10810811
2021/11/6,26,82.26,-845.9297434,138.0349934,70.93902289,64.92155637,348.697391,55548.26363,6.53,-0.322611682,0.242624475,2.081131458,799.8655688,68.13514234,2.223845467,5.640775911,0.543664936,0.075658746,0.074969301,17.45945946
2021/11/7,27,80.77,-844.4015926,145.493461,78.60536875,65.28416427,328.3508845,55591.49346,6.53,-0.367175642,0.26284579,1.784415839,1100,67.98440711,2.386169954,4.691177664,0.510591424,0.095221834,0.076305723,15.71171171
2021/11/8,28,80.77,-842.4971545,146.9224717,85.11307826,61.11647976,409.9082816,55403.88951,6.52,-0.359925585,0.199084963,2.000328838,599.8989899,64.00971333,2.272542813,6.25760896,0.572180684,0.087080348,0.093564392,18.93693694
2021/11/9,29,77.87,-839.6440839,152.9289691,111.6591218,62.83483974,333.2674243,55080.18213,6.53,-0.37215134,0.17316604,1.992011032,799.8628728,76.08497268,2.272542813,6.728349972,0.594701491,0.051235782,0.061974816,19.98198198
2021/11/10,30,89.82,-871.2095253,64.82421677,61.90833567,15.72890444,1.01325,59122.79309,6.58,-0.301586271,0.095881096,2.551934634,2700.226738,72.95713851,3.16532749,7.897086275,0.691286784,0.059794847,0.059814922,24.55855856
2021/11/11,31,89.37,-865.9876451,79.57144566,63.04462408,16.16688695,1.01325,57899.84389,6.58,-0.316392028,0.104343624,2.499193903,1699.711693,70.90824559,3.538673809,8.562616671,0.735856173,0.060848986,0.059734655,26.86486486
2021/11/12,32,83.8,-854.407744,122.5363889,80.52821203,34.97379127,253.8362673,56676.89468,6.55,-0.311692036,0.206702862,2.479643736,1800.152091,72.10526961,3.903903904,9.325541758,0.777833194,0.059353708,0.063508508,29.36936937
2021/11/13,33,90.45,-871.257611,71.04682911,50.10140276,18.40862381,1.01325,59832.57032,6.54,-0.277948278,0.201868333,2.454407385,2700,72.9906081,3.416930444,7.937667397,0.707044101,0.068959424,0.075149092,25.20720721
2021/11/14,34,91.49,-872.5864718,61.39387878,42.6732556,10.63671927,4.187258166,58578.174,6.58,-0.300834968,0.216463048,2.221925331,1799.847302,68.48847835,3.741579417,9.42293645,0.77411698,0.055678489,0.058129941,29.22522523
2021/11/15,35,89.68,-869.9162441,70.8071638,42.94326532,12.23048563,20.49409034,57299.11444,6.54,-0.328172858,0.223864277,2.150824599,1300,69.61047907,3.16532749,8.627546465,0.715786364,0.05880612,0.0629956,26.18018018
2021/11/16,36,88.55,-863.6311415,97.13319939,65.59665665,17.59866282,1.045650333,57118.40616,6.52,-0.267727677,0.110004273,2.73521703,1700,71.74382738,2.694586478,8.213619024,0.674655863,0.063116679,0.06964889,24.21621622
2021/11/17,37,86.56,-856.3573296,108.9445219,72.36010018,22.25125105,72.01617453,56582.29841,6.55,-0.269650435,0.090570359,2.654922636,1500,69.48298043,3.400697995,8.789870952,0.733133499,0.062009955,0.061919073,27.06306306
2021/11/18,38,83.21,-846.5227597,144.7057469,104.905423,36.02994123,90.64409441,56032.60637,6.55,-0.301919175,0.099659314,2.377582019,1100,69.77459321,2.296891486,7.596785975,0.628940866,0.06117491,0.065194529,21.96396396
2021/11/19,39,82.76,-850.939298,132.7496613,112.9513593,24.35292473,75.2290318,56418.94243,6.57,-0.308487313,0.074019261,2.339262664,1000,68.45060994,3.0354679,8.278548819,0.69670962,0.069274128,0.06700153,25.11711712
2021/11/20,40,83.44,-849.3622314,119.0775203,111.7136477,20.58596252,1.01325,56697.18841,6.58,-0.230802852,-0.012592382,2.861479726,1100,70.15221138,3.084165246,8.213619024,0.697856604,0.063231855,0.067850458,25.08108108
2021/11/21,41,82.17,-850.0361505,120.526418,137.5894582,16.17968287,1.01325,56152.28594,6.58,-0.265685566,-0.023248524,2.627611152,1599.865907,71.12599755,3.124746368,7.978248519,0.690577411,0.061457823,0.057370541,24.64864865
2021/11/22,42,83.26,-851.4760063,112.502319,132.3658116,12.13643821,1.01325,56517.87744,6.56,-0.295348128,-0.034351086,2.430648315,1599.729227,67.3920854,3.205908611,7.807807808,0.690114681,0.062281667,0.06069688,24.45045045
2021/11/23,43,85.48,-852.6612895,92.73147112,136.4837521,7.913606552,1.01325,56875.84626,6.56,-0.258177513,-0.073549542,2.663568978,2000,69.0482373,3.295187079,7.897086275,0.69876566,0.060851306,0.062788782,24.84684685
2021/11/24,44,84.07,-848.638012,100.1252807,148.5806448,6.890539754,1.01325,56315.58765,6.55,-0.286072036,-0.086057676,2.40688826,1399.762571,62.00741805,3.920136353,8.603197792,0.755988785,0.071079896,0.071330915,27.8018018
2021/11/25,45,84.84,-852.2343291,82.7224794,143.353841,4.758917822,1.01325,56663.484,6.57,-0.275402063,-0.119650483,2.342612011,2000.506757,61.27259483,3.928252577,9.577144712,0.787555299,0.063693051,0.062932687,29.98198198
2021/11/26,46,84.66,-852.1691374,72.58599482,155.9912993,4.090830918,1.01325,56564.62355,6.58,-0.253215072,-0.121843451,2.412571218,1900,70.95054932,3.287070855,7.880853827,0.698422537,0.062322006,0.061879183,24.79279279
2021/11/27,47,84.52,-854.7969899,59.70643002,139.2774563,3.159795628,1.01325,56386.58002,6.59,-0.203329836,-0.155141291,2.587025801,2800,72.2138661,3.270838406,8.108108108,0.703566734,0.063817561,0.063080507,25.26126126
2021/11/28,48,85.11,-856.8530329,52.88336714,136.4640408,2.937302154,1.01325,56216.26625,6.59,-0.224420965,-0.147220266,2.484064979,1899.680323,72.11032016,3.611719828,8.457105754,0.737122529,0.060468565,0.071740434,26.79279279
2021/11/29,49,86.56,-861.0318094,39.53980902,129.7565908,0,1.01325,56658.89835,6.61,-0.164866256,-0.145273789,2.772962533,2300.194093,62.55001177,4.731758786,10.24267511,0.853518306,0.053923995,0.058453102,33.24324324
2021/11/30,50,87.01,-859.8149551,37.38016229,137.8061111,0,1.01325,56912.50227,6.68,-0.183848342,-0.14321681,2.593894303,1800,71.66638361,3.717230744,7.166626086,0.694125465,0.066601648,0.063278577,24.16216216
2021/12/1,51,93.67,-871.9922993,15.29404944,71.51599022,0,1.01325,60798.23811,6.68,-0.147772192,-0.136300406,2.822027558,3000.511814,68.50018867,3.830857885,7.523739956,0.712680615,0.06735499,0.059532985,25.20720721
2021/12/2,52,92.26,-872.6421052,18.33339187,65.5178288,0,1.01325,57391.46113,6.63,-0.168237589,-0.13329643,2.662451534,3300,68.18654876,3.311419528,7.207207207,0.671666498,0.068500504,0.065007102,23.35135135
2021/12/3,53,92.08,-869.7289414,23.05843576,86.59718882,0,1.01325,57513.13561,6.61,-0.130310371,-0.114417539,2.849418942,3100,66.79641926,3.319535752,7.061115169,0.669295883,0.076329938,0.073092693,23.04504505
2021/12/4,54,90.9,-867.4146065,26.87827525,95.52134154,0,1.01325,56955.28592,6.59,-0.123847846,-0.10961741,2.81412462,3299.439681,60.28046168,3.847090334,8.221735249,0.739085953,0.07093353,0.059914325,26.79279279
2021/12/5,55,90.95,-863.687397,31.62115498,110.0689973,0,1.01325,57248.26633,6.61,-0.176209694,-0.106197039,2.47956137,2900.248245,63.49137263,4.131158185,8.440873306,0.759772594,0.065597477,0.05987898,27.90990991
2021/12/6,56,90.77,-863.5997982,34.32206395,113.77121,0,1.01325,59840.39992,6.7,-0.104426571,-0.145278162,2.717450619,3499.405772,63.58299856,4.431458486,7.353299245,0.73849244,0.07906492,0.066200456,26.16216216
2021/12/7,57,89,-858.4374428,49.61439575,112.1897037,3.151638018,1.01325,59359.12636,6.67,-0.101700916,-0.110301745,2.78057281,2500,61.69432865,4.350296242,7.978248519,0.756374961,0.073689812,0.067273859,27.36936937
2021/12/8,58,89.91,-865.773107,29.77757305,107.8856585,0,1.01325,53723.11952,6.59,-0.038629534,-0.057666553,2.94680753,2799.057398,64.16726985,3.595487379,7.410112816,0.696127882,0.071104319,0.072348587,24.43243243
2021/12/9,59,89.68,-863.4778813,38.32645747,131.5745465,0,1.01325,56003.21115,6.6,0.009083577,-0.029350046,3.037739524,3699.686388,70.11601013,4.658712767,7.677948218,0.758328328,0.077825839,0.075346199,27.38738739
2021/12/10,60,89.95,-863.3593602,38.47777928,119.6984024,0,1.01325,56628.47753,6.63,0.059355437,-0.017878959,3.066934369,4100.344335,61.08370091,5.161918675,7.848388929,0.789641807,0.0774467,0.08268701,28.88288288
2021/12/11,61,91.58,-866.2567431,33.46573295,101.1150644,0,1.01325,57037.5592,6.65,0.068283468,-0.018115539,2.988009696,3899.667689,59.40959834,5.827449071,7.824040256,0.813257812,0.086654171,0.088795262,30.30630631
