system,Cause,Effect,rho_Lmax
UASB,COD,COD,0.990291618
UASB,dG,COD,0.914780745
UASB,Ac,COD,0.836681946
UASB,Pr,COD,0.777675896
UASB,Bu,COD,0.784825702
UASB,H2,COD,0.689440371
UASB,CH4,COD,0.692575398
UASB,pH,COD,0.857315439
UASB,PC1,COD,0.607981241
UASB,PC2,COD,0.645060992
UASB,Div_a,COD,0.790756057
UASB,Biomass,COD,0.757155151
UASB,Instability,COD,0.759434
UASB,P_P_IS,COD,0.448992699
UASB,P_N_IS,COD,0.556046874
UASB,Complexity,COD,0.659638966
UASB,Ave_P_IS,COD,0.669307763
UASB,Ave_N_IS,COD,0.550169392
UASB,Centrality,COD,0.758297838
UASB,COD,dG,0.939470706
UASB,dG,dG,0.992572354
UASB,Ac,dG,0.810971507
UASB,Pr,dG,0.851212187
UASB,Bu,dG,0.839841171
UASB,H2,dG,0.686247056
UASB,CH4,dG,0.762091657
UASB,pH,dG,0.925373857
UASB,PC1,dG,0.641525562
UASB,PC2,dG,0.604551838
UASB,Div_a,dG,0.745326269
UASB,Biomass,dG,0.799312255
UASB,Instability,dG,0.842709358
UASB,P_P_IS,dG,0.569970099
UASB,P_N_IS,dG,0.676898675
UASB,Complexity,dG,0.681669464
UASB,Ave_P_IS,dG,0.728566275
UASB,Ave_N_IS,dG,0.675522287
UASB,Centrality,dG,0.843775281
UASB,COD,Ac,0.83089257
UASB,dG,Ac,0.821737999
UASB,Ac,Ac,0.98653852
UASB,Pr,Ac,0.723346879
UASB,Bu,Ac,0.842989494
UASB,H2,Ac,0.748483688
UASB,CH4,Ac,0.616648769
UASB,pH,Ac,0.957374778
UASB,PC1,Ac,0.766487238
UASB,PC2,Ac,0.68019016
UASB,Div_a,Ac,0.728922139
UASB,Biomass,Ac,0.797519962
UASB,Instability,Ac,0.83477375
UASB,P_P_IS,Ac,0.604163758
UASB,P_N_IS,Ac,0.718037734
UASB,Complexity,Ac,0.635965708
UASB,Ave_P_IS,Ac,0.777868032
UASB,Ave_N_IS,Ac,0.695851897
UASB,Centrality,Ac,0.790919405
UASB,COD,Pr,0.758183504
UASB,dG,Pr,0.813045445
UASB,Ac,Pr,0.829467935
UASB,Pr,Pr,0.99631692
UASB,Bu,Pr,0.708088303
UASB,H2,Pr,0.56051813
UASB,CH4,Pr,0.568837802
UASB,pH,Pr,0.841802831
UASB,PC1,Pr,0.850406528
UASB,PC2,Pr,0.629319401
UASB,Div_a,Pr,0.612508365
UASB,Biomass,Pr,0.709894521
UASB,Instability,Pr,0.770128962
UASB,P_P_IS,Pr,0.443253613
UASB,P_N_IS,Pr,0.599467031
UASB,Complexity,Pr,0.511555617
UASB,Ave_P_IS,Pr,0.6203165
UASB,Ave_N_IS,Pr,0.596376802
UASB,Centrality,Pr,0.693290366
UASB,COD,Bu,0.768051453
UASB,dG,Bu,0.7606875
UASB,Ac,Bu,0.830636496
UASB,Pr,Bu,0.721515853
UASB,Bu,Bu,0.978702383
UASB,H2,Bu,0.728797445
UASB,CH4,Bu,0.63546876
UASB,pH,Bu,0.933150426
UASB,PC1,Bu,0.901512887
UASB,PC2,Bu,0.684950747
UASB,Div_a,Bu,0.681713733
UASB,Biomass,Bu,0.771363782
UASB,Instability,Bu,0.825677166
UASB,P_P_IS,Bu,0.519235819
UASB,P_N_IS,Bu,0.717344395
UASB,Complexity,Bu,0.652030843
UASB,Ave_P_IS,Bu,0.767529032
UASB,Ave_N_IS,Bu,0.707476721
UASB,Centrality,Bu,0.73819211
UASB,COD,H2,0.818124167
UASB,dG,H2,0.809068839
UASB,Ac,H2,0.782491313
UASB,Pr,H2,0.822165702
UASB,Bu,H2,0.910594492
UASB,H2,H2,0.905016551
UASB,CH4,H2,0.681333513
UASB,pH,H2,0.908675162
UASB,PC1,H2,0.873499395
UASB,PC2,H2,0.670186613
UASB,Div_a,H2,0.758243175
UASB,Biomass,H2,0.79437887
UASB,Instability,H2,0.811128347
UASB,P_P_IS,H2,0.636034393
UASB,P_N_IS,H2,0.732044652
UASB,Complexity,H2,0.685023034
UASB,Ave_P_IS,H2,0.749789833
UASB,Ave_N_IS,H2,0.732730882
UASB,Centrality,H2,0.898940044
UASB,COD,CH4,0.860982308
UASB,dG,CH4,0.882594093
UASB,Ac,CH4,0.723373761
UASB,Pr,CH4,0.773821792
UASB,Bu,CH4,0.719181892
UASB,H2,CH4,0.654235269
UASB,CH4,CH4,0.969153117
UASB,pH,CH4,0.583932556
UASB,PC1,CH4,0.624947344
UASB,PC2,CH4,0.541235741
UASB,Div_a,CH4,0.754810942
UASB,Biomass,CH4,0.580884812
UASB,Instability,CH4,0.447581268
UASB,P_P_IS,CH4,0.305121437
UASB,P_N_IS,CH4,0.281309609
UASB,Complexity,CH4,0.560174685
UASB,Ave_P_IS,CH4,0.482360376
UASB,Ave_N_IS,CH4,0.298249398
UASB,Centrality,CH4,0.784964017
UASB,COD,pH,0.674711198
UASB,dG,pH,0.69552257
UASB,Ac,pH,0.809149592
UASB,Pr,pH,0.834312892
UASB,Bu,pH,0.784449157
UASB,H2,pH,0.679241177
UASB,CH4,pH,0.370926913
UASB,pH,pH,0.992632418
UASB,PC1,pH,0.914589673
UASB,PC2,pH,0.781459703
UASB,Div_a,pH,0.738865719
UASB,Biomass,pH,0.823546686
UASB,Instability,pH,0.881921142
UASB,P_P_IS,pH,0.565056979
UASB,P_N_IS,pH,0.759638186
UASB,Complexity,pH,0.679469695
UASB,Ave_P_IS,pH,0.807297688
UASB,Ave_N_IS,pH,0.748848266
UASB,Centrality,pH,0.737229588
UASB,COD,PC1,0.737899824
UASB,dG,PC1,0.770321511
UASB,Ac,PC1,0.857957212
UASB,Pr,PC1,0.849728875
UASB,Bu,PC1,0.830669424
UASB,H2,PC1,0.732664691
UASB,CH4,PC1,0.441642855
UASB,pH,PC1,0.973608247
UASB,PC1,PC1,0.992226437
UASB,PC2,PC1,0.767452159
UASB,Div_a,PC1,0.794195902
UASB,Biomass,PC1,0.832339222
UASB,Instability,PC1,0.864656272
UASB,P_P_IS,PC1,0.574831196
