"","system","Cause","Effect","rho_Lmax","edge_colors"
"1","UASB","COD","COD",0.990291618,"#010180"
"2","UASB","dG","COD",0.914780745,"#141489"
"3","UASB","Ac","COD",0.836681946,"#282893"
"4","UASB","Pr","COD",0.777675896,"#37379B"
"5","UASB","Bu","COD",0.784825702,"#34349A"
"6","UASB","H2","COD",0.689440371,"#4D4DA6"
"7","UASB","CH4","COD",0.692575398,"#4C4CA5"
"8","UASB","pH","COD",0.758297838,"#3B3B9D"
"9","UASB","PC1","COD",0.857315439,"#232391"
"10","UASB","PC2","COD",0.607981241,"#6262B0"
"11","UASB","Div_a","COD",0.645060992,"#5858AB"
"12","UASB","Biomass","COD",0.790756057,"#333399"
"13","UASB","Instability","COD",0.757155151,"#3C3C9D"
"14","UASB","P_P_IS","COD",0.759434,"#3B3B9D"
"15","UASB","P_N_IS","COD",0.448992699,"#8A8AC4"
"16","UASB","Complexity","COD",0.556046874,"#6F6FB6"
"17","UASB","Ave_P_IS","COD",0.659638966,"#5454A9"
"18","UASB","Ave_N_IS","COD",0.669307763,"#5252A8"
"19","UASB","Centrality","COD",0.550169392,"#7070B7"
"20","UASB","COD","dG",0.939470706,"#0E0E86"
"21","UASB","dG","dG",0.992572354,"#000080"
"22","UASB","Ac","dG",0.810971507,"#2E2E97"
"23","UASB","Pr","dG",0.851212187,"#242491"
"24","UASB","Bu","dG",0.839841171,"#272793"
"25","UASB","H2","dG",0.686247056,"#4E4EA6"
"26","UASB","CH4","dG",0.762091657,"#3A3A9C"
"27","UASB","pH","dG",0.843775281,"#262692"
"28","UASB","PC1","dG",0.925373857,"#111188"
"29","UASB","PC2","dG",0.641525562,"#5959AC"
"30","UASB","Div_a","dG",0.604551838,"#6363B0"
"31","UASB","Biomass","dG",0.745326269,"#3F3F9F"
"32","UASB","Instability","dG",0.799312255,"#313198"
"33","UASB","P_P_IS","dG",0.842709358,"#262693"
"34","UASB","P_N_IS","dG",0.569970099,"#6C6CB5"
"35","UASB","Complexity","dG",0.676898675,"#5050A7"
"36","UASB","Ave_P_IS","dG",0.681669464,"#4F4FA7"
"37","UASB","Ave_N_IS","dG",0.728566275,"#4343A1"
"38","UASB","Centrality","dG",0.675522287,"#5151A7"
"39","UASB","COD","Ac",0.83089257,"#292994"
"40","UASB","dG","Ac",0.821737999,"#2B2B95"
"41","UASB","Ac","Ac",0.98653852,"#020281"
"42","UASB","Pr","Ac",0.723346879,"#4444A1"
"43","UASB","Bu","Ac",0.842989494,"#262693"
"44","UASB","H2","Ac",0.748483688,"#3E3E9E"
"45","UASB","CH4","Ac",0.616648769,"#6060AF"
"46","UASB","pH","Ac",0.790919405,"#333399"
"47","UASB","PC1","Ac",0.957374778,"#090984"
"48","UASB","PC2","Ac",0.766487238,"#3A3A9C"
"49","UASB","Div_a","Ac",0.68019016,"#4F4FA7"
"50","UASB","Biomass","Ac",0.728922139,"#4343A1"
"51","UASB","Instability","Ac",0.797519962,"#313198"
"52","UASB","P_P_IS","Ac",0.83477375,"#282893"
"53","UASB","P_N_IS","Ac",0.604163758,"#6363B0"
"54","UASB","Complexity","Ac",0.718037734,"#4646A2"
"55","UASB","Ave_P_IS","Ac",0.635965708,"#5A5AAC"
"56","UASB","Ave_N_IS","Ac",0.777868032,"#37379B"
"57","UASB","Centrality","Ac",0.695851897,"#4C4CA5"
"58","UASB","COD","Pr",0.758183504,"#3C3C9D"
"59","UASB","dG","Pr",0.813045445,"#2E2E96"
